date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2025-01-22 00:00:00,5.7809997,99.65459,5.731,4.42208,0.6,0.6,0.0,0.01,53.0,1012.2,895.9212,100.0,100.0,58.0,100.0,0.0,0.003189087,2.0523157,5.4833565,74.74483,156.80138,12.24,5.1809998,4.731,5.5309997,10.531,0.399,0.332,0.3,0.3
2025-01-22 01:00:00,6.7809997,99.65735,6.731,4.516279,0.1,0.1,0.0,0.01,51.0,1011.2,895.4219,100.0,100.0,64.0,99.0,0.0,0.0033892393,9.826088,24.43827,188.42688,200.7043,31.319998,6.081,4.831,5.5309997,10.531,0.398,0.33,0.3,0.3
2025-01-22 02:00:00,6.581,99.6568,6.5309997,4.5463686,0.4,0.4,0.0,0.01,51.0,1010.9,895.0793,100.0,100.0,19.0,85.0,0.0,0.0033483505,7.928178,19.90852,177.39749,194.6645,24.48,5.981,4.9309998,5.5309997,10.531,0.398,0.332,0.3,0.3
2025-01-22 03:00:00,6.4309998,99.65639,6.381,4.418544,0.6,0.6,0.0,0.01,53.0,1010.5,894.6674,100.0,100.0,87.0,99.0,0.0,0.0033179522,7.538541,17.5931,146.68936,172.94778,20.880001,5.9309998,5.0309997,5.5309997,10.531,0.399,0.334,0.3,0.3
2025-01-22 04:00:00,6.1809998,99.655685,6.131,3.8248262,0.4,0.4,0.0,0.0,51.0,1010.0,894.12836,100.0,100.0,100.0,99.0,0.0,0.0032678843,9.504273,20.240196,155.37645,174.89792,22.319998,5.881,5.081,5.581,10.531,0.398,0.336,0.3,0.3
2025-01-22 05:00:00,6.0309997,100.0,6.0309997,3.6549778,1.0,1.0,0.0,0.0,55.0,1009.7,893.805,100.0,100.0,100.0,89.0,0.0,0.0,9.485504,20.441692,146.61147,167.79955,22.319998,5.7809997,5.131,5.581,10.531,0.404,0.338,0.3,0.3
2025-01-22 06:00:00,5.981,99.655136,5.9309998,3.7727003,1.4,1.4,0.0,0.0,61.0,1009.4,893.5202,100.0,100.0,100.0,36.0,0.0,0.0032282472,8.181589,16.507088,140.35587,161.56496,23.039999,5.731,5.1809998,5.581,10.531,0.413,0.341,0.3,0.3
2025-01-22 07:00:00,5.7809997,99.65459,5.731,3.829649,1.9,1.9,0.0,0.0,61.0,1009.6,893.6199,100.0,100.0,100.0,31.0,0.0,0.003189087,6.114703,15.175612,132.61403,157.69374,19.8,5.6809998,5.231,5.581,10.531,0.421,0.347,0.301,0.3
2025-01-22 08:00:00,5.6809998,99.65431,5.631,4.3290834,1.8,1.8,0.0,0.0,61.0,1010.3,894.2007,100.0,100.0,76.0,64.0,0.014052286,0.0031695366,1.8532133,4.4456716,60.94549,148.24057,16.56,5.581,5.2809997,5.581,10.531,0.422,0.354,0.301,0.3
2025-01-22 09:00:00,5.881,98.62577,5.6809998,4.5478706,1.1,1.1,0.0,0.0,55.0,1010.3,894.27814,100.0,100.0,67.0,100.0,0.017930094,0.012776017,1.8,3.143565,36.86999,193.24052,12.599999,5.631,5.2809997,5.581,10.531,0.418,0.36,0.301,0.3
2025-01-22 10:00:00,6.6809998,99.31517,6.581,5.0933886,0.5,0.5,0.0,0.0,53.0,1010.1,894.40936,100.0,100.0,30.0,84.0,0.03239489,0.006727338,4.942631,11.500296,169.50858,197.30061,15.4800005,5.981,5.331,5.631,10.531,0.413,0.363,0.301,0.3
2025-01-22 11:00:00,7.131,100.0,7.131,5.160304,0.6,0.6,0.0,0.0,53.0,1010.1,894.582,100.0,100.0,30.0,84.0,0.032959472,0.0,8.461914,18.297245,181.21884,195.40349,20.880001,6.2809997,5.4309998,5.631,10.481,0.411,0.366,0.301,0.3
2025-01-22 12:00:00,7.881,100.0,7.881,5.060916,0.7,0.7,0.0,0.0,53.0,1009.3,894.1601,100.0,100.0,44.0,81.0,0.036728684,0.0,15.552041,29.326746,196.12766,200.10338,33.12,6.731,5.481,5.631,10.481,0.412,0.368,0.301,0.3
2025-01-22 13:00:00,7.7809997,95.00694,7.0309997,4.2610664,0.2,0.2,0.0,0.0,51.0,1010.1,894.8306,100.0,94.0,35.0,100.0,0.049735963,0.052879572,18.921415,30.839415,205.34613,205.21889,40.68,6.5309997,5.481,5.631,10.481,0.414,0.386,0.302,0.3
