date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,year,month_number,month_name
2022-04-01 00:00:00+00:00,2.0,13.79,5.89,9.38375,8.642049,0.35360622,4.5838294,0,0,45702.2,42487.496,0.0,0.0,0.0,0.0,28.876396,59.039997,308.00397,22.81,4.131197,2022,4,Abril
2022-04-02 00:00:00+00:00,51.0,15.29,4.89,8.712916,11.504692,-1.2208042,3.6925747,0,0,45868.496,42651.28,0.3,0.3,0.0,2.0,24.315327,48.6,299.9888,20.75,3.9914708,2022,4,Abril
2022-04-03 00:00:00+00:00,73.0,7.69,2.99,5.5025,4.856784,0.24769878,2.5820496,0,0,46034.527,34698.906,4.1,3.5,0.42000002,11.0,13.358861,29.519999,252.28407,13.93,1.7057844,2022,4,Abril
2022-04-04 00:00:00+00:00,3.0,12.29,1.24,7.269167,9.110931,-1.6956625,4.2673154,0,0,46200.184,41226.176,0.0,0.0,0.0,0.0,13.70839,28.44,52.0772,20.24,2.8603706,2022,4,Abril
2022-04-05 00:00:00+00:00,3.0,14.440001,3.19,8.996249,12.366753,-0.7255516,6.2964306,0,0,46365.36,42852.41,0.0,0.0,0.0,0.0,12.4811535,29.16,267.4209,22.51,3.2750087,2022,4,Abril
2022-04-06 00:00:00+00:00,3.0,16.439999,6.8399997,11.112916,13.726461,4.6867495,9.002824,0,0,46529.945,35715.387,0.0,0.0,0.0,0.0,15.856356,34.56,215.13426,18.27,2.8240683,2022,4,Abril
2022-04-07 00:00:00+00:00,3.0,21.039999,6.79,13.835832,18.864885,4.4107924,11.332954,0,0,46693.832,42978.195,0.0,0.0,0.0,0.0,24.72495,49.32,254.73744,23.1,4.1794724,2022,4,Abril
2022-04-08 00:00:00+00:00,3.0,22.689999,9.740001,16.656668,20.005547,7.2378197,13.887199,0,0,46856.895,39786.562,0.0,0.0,0.0,0.0,23.185787,47.519997,255.8849,22.64,4.9514785,2022,4,Abril
2022-04-09 00:00:00+00:00,51.0,17.59,11.04,14.323335,15.026712,9.74571,11.835027,0,0,47019.03,41078.387,0.1,0.1,0.0,1.0,23.565569,48.96,138.94067,19.13,3.2856555,2022,4,Abril
2022-04-10 00:00:00+00:00,3.0,15.84,8.740001,12.331666,13.820892,7.609681,10.959969,0,0,47180.125,36892.227,0.0,0.0,0.0,0.0,15.0038395,33.12,215.6554,17.63,2.630865,2022,4,Abril
2022-04-11 00:00:00+00:00,51.0,16.039999,7.89,12.452498,15.11788,6.315425,10.602058,0,0,47340.043,43200.0,0.1,0.1,0.0,1.0,21.178896,42.48,69.2909,20.7,2.8965542,2022,4,Abril
2022-04-12 00:00:00+00:00,61.0,16.59,12.64,14.031667,12.981489,9.291703,11.0884695,0,0,47498.676,15201.043,3.1,3.1,0.0,3.0,28.99062,57.6,57.839108,12.06,2.1398127,2022,4,Abril
2022-04-13 00:00:00+00:00,61.0,15.490001,13.09,13.917084,12.511414,10.6800585,11.707171,0,0,47656.098,3634.6807,10.700001,10.700001,0.0,13.0,26.339111,52.199997,57.332977,6.51,1.2380728,2022,4,Abril
2022-04-14 00:00:00+00:00,3.0,21.39,10.740001,15.773334,18.65646,8.654978,13.530988,0,0,47813.445,43274.414,0.0,0.0,0.0,0.0,23.933908,49.68,49.427868,23.32,4.3624334,2022,4,Abril
2022-04-15 00:00:00+00:00,3.0,23.34,10.490001,16.773333,24.473505,8.464791,16.129354,0,0,47970.81,43361.207,0.0,0.0,0.0,0.0,16.039202,36.36,258.24207,23.62,4.1917973,2022,4,Abril
2022-04-16 00:00:00+00:00,1.0,25.789999,13.04,18.125418,25.599304,12.109489,17.440039,0,0,48128.094,43456.15,0.0,0.0,0.0,0.0,18.218275,38.519997,253.85551,23.55,4.5408072,2022,4,Abril
2022-04-17 00:00:00+00:00,3.0,21.24,11.54,15.962916,22.015495,10.730784,15.349473,0,0,48285.176,43664.61,0.0,0.0,0.0,0.0,18.043148,40.32,92.38588,23.04,3.7512956,2022,4,Abril
2022-04-18 00:00:00+00:00,3.0,18.14,9.84,14.398334,18.538017,8.758292,13.882146,0,0,48441.965,43227.336,0.0,0.0,0.0,0.0,15.034041,32.760002,120.35004,21.97,3.352677,2022,4,Abril
2022-04-19 00:00:00+00:00,63.0,17.14,10.64,14.13375,16.160093,10.284983,13.509189,0,0,48598.34,37713.227,6.5,6.5,0.0,6.0,11.119281,26.28,94.59212,17.18,2.6957176,2022,4,Abril
2022-04-20 00:00:00+00:00,63.0,16.84,12.54,14.177501,12.607105,8.899208,10.966335,0,0,48754.19,15201.404,8.2,8.2,0.0,5.0,33.092594,67.32,65.345856,11.86,2.2411106,2022,4,Abril
2022-04-21 00:00:00+00:00,63.0,16.39,10.490001,13.0337515,16.24043,7.665719,11.518825,0,0,48909.4,0.0,16.7,16.7,0.0,19.0,32.85678,65.520004,341.93338,7.57,1.4045061,2022,4,Abril
2022-04-22 00:00:00+00:00,3.0,19.289999,9.190001,14.248336,17.584139,7.453805,12.814115,0,0,49063.85,40372.594,0.0,0.0,0.0,0.0,21.578989,43.92,232.91573,22.32,3.475372,2022,4,Abril
2022-04-23 00:00:00+00:00,61.0,15.490001,11.490001,13.410834,13.789171,7.496166,10.906365,0,0,49217.42,31140.83,4.9,4.9,0.0,8.0,27.14123,53.639996,237.99461,17.42,2.8478255,2022,4,Abril
2022-04-24 00:00:00+00:00,3.0,21.039999,10.84,15.442082,21.052006,7.735223,13.526108,0,0,49369.992,43391.664,0.0,0.0,0.0,0.0,21.599998,43.56,268.0251,23.0,4.2891,2022,4,Abril
2022-04-25 00:00:00+00:00,51.0,19.439999,9.190001,14.567084,20.433477,8.004119,13.926511,0,0,49521.44,44739.24,0.1,0.1,0.0,1.0,13.910169,36.0,233.74594,23.05,3.5682178,2022,4,Abril
2022-04-26 00:00:00+00:00,3.0,20.59,8.690001,15.010835,20.20594,7.172924,14.0522375,0,0,49671.633,44339.36,0.0,0.0,0.0,0.0,14.182355,31.68,234.4052,24.78,4.093305,2022,4,Abril
2022-04-27 00:00:00+00:00,51.0,20.289999,9.64,14.954582,20.074347,7.7084846,13.879703,0,0,49820.445,31430.754,0.1,0.1,0.0,1.0,14.561099,33.12,216.78088,18.2,3.1284199,2022,4,Abril
2022-04-28 00:00:00+00:00,3.0,20.939999,10.89,16.310835,21.256527,9.1377735,15.132714,0,0,49967.734,43627.2,0.0,0.0,0.0,0.0,17.643673,35.28,58.428226,23.57,4.0665603,2022,4,Abril
2022-04-29 00:00:00+00:00,2.0,24.039999,11.690001,17.217083,25.01988,10.293175,16.701807,0,0,50113.367,45388.406,0.0,0.0,0.0,0.0,14.440443,29.88,233.63864,23.94,4.268995,2022,4,Abril
2022-04-30 00:00:00+00:00,53.0,21.24,14.490001,17.162918,21.676485,13.83695,16.948729,0,0,50257.207,41290.633,0.70000005,0.70000005,0.0,3.0,13.627795,31.319998,136.49948,22.4,3.824958,2022,4,Abril
