date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,year,month_number,month_name,relative_humidity_2m,estación
2023-07-01 00:00:00+00:00,63.0,27.439999,19.289999,23.035835,2023,7,Julio,35.26258357142857,ESMAD2800000028240A
2023-07-02 00:00:00+00:00,51.0,27.24,20.24,23.667084,2023,7,Julio,47.87673878571429,ESMAD2800000028240A
2023-07-03 00:00:00+00:00,51.0,28.14,20.49,24.608751,2023,7,Julio,32.02214157142857,ESMAD2800000028240A
2023-07-04 00:00:00+00:00,51.0,25.74,20.689999,23.277502,2023,7,Julio,24.02409007142857,ESMAD2800000028240A
2023-07-05 00:00:00+00:00,51.0,25.689999,19.64,22.65875,2023,7,Julio,28.346020071428573,ESMAD2800000028240A
2023-07-06 00:00:00+00:00,63.0,27.439999,20.64,23.517082,2023,7,Julio,32.3637265,ESMAD2800000028240A
2023-07-07 00:00:00+00:00,3.0,27.74,19.789999,23.885832,2023,7,Julio,34.308556357142855,ESMAD2800000028240A
2023-07-08 00:00:00+00:00,0.0,31.84,19.189999,25.242086,2023,7,Julio,23.238706,ESMAD2800000028240A
2023-07-09 00:00:00+00:00,2.0,30.289999,19.939999,25.331667,2023,7,Julio,23.816125285714286,ESMAD2800000028240A
2023-07-10 00:00:00+00:00,2.0,30.14,21.789999,26.385834,2023,7,Julio,19.58632042857143,ESMAD2800000028240A
2023-07-11 00:00:00+00:00,3.0,30.189999,21.59,26.512917,2023,7,Julio,15.755462214285714,ESMAD2800000028240A
2023-07-12 00:00:00+00:00,3.0,29.539999,22.99,26.08375,2023,7,Julio,22.692373857142858,ESMAD2800000028240A
2023-07-13 00:00:00+00:00,3.0,30.39,22.74,26.300417,2023,7,Julio,28.117366642857142,ESMAD2800000028240A
2023-07-14 00:00:00+00:00,2.0,30.64,22.09,26.479586,2023,7,Julio,20.240255285714284,ESMAD2800000028240A
2023-07-15 00:00:00+00:00,2.0,30.09,21.939999,26.177498,2023,7,Julio,31.054052071428572,ESMAD2800000028240A
2023-07-16 00:00:00+00:00,3.0,28.939999,23.24,26.052504,2023,7,Julio,20.71179910714286,ESMAD2800000028240A
2023-07-17 00:00:00+00:00,1.0,29.689999,21.89,25.919167,2023,7,Julio,21.773849678571427,ESMAD2800000028240A
2023-07-18 00:00:00+00:00,3.0,35.489998,21.289999,28.627497,2023,7,Julio,19.816196892857143,ESMAD2800000028240A
2023-07-19 00:00:00+00:00,3.0,33.89,22.99,27.900415,2023,7,Julio,16.698721,ESMAD2800000028240A
2023-07-20 00:00:00+00:00,1.0,30.99,22.34,26.871254,2023,7,Julio,17.338175714285715,ESMAD2800000028240A
2023-07-21 00:00:00+00:00,51.0,30.24,23.289999,26.581667,2023,7,Julio,30.238577,ESMAD2800000028240A
2023-07-22 00:00:00+00:00,3.0,28.789999,22.24,25.792084,2023,7,Julio,21.416216785714287,ESMAD2800000028240A
2023-07-23 00:00:00+00:00,3.0,30.49,22.039999,26.640001,2023,7,Julio,17.992716642857143,ESMAD2800000028240A
2023-07-24 00:00:00+00:00,53.0,30.789999,22.84,26.55458,2023,7,Julio,29.42637385714286,ESMAD2800000028240A
2023-07-25 00:00:00+00:00,2.0,33.29,19.289999,25.996254,2023,7,Julio,27.98141407142857,ESMAD2800000028240A
2023-07-26 00:00:00+00:00,53.0,26.59,21.64,23.746248,2023,7,Julio,24.9684895,ESMAD2800000028240A
2023-07-27 00:00:00+00:00,3.0,29.789999,20.189999,25.339998,2023,7,Julio,25.145343142857143,ESMAD2800000028240A
2023-07-28 00:00:00+00:00,1.0,29.689999,19.59,25.085833,2023,7,Julio,22.870406071428572,ESMAD2800000028240A
2023-07-29 00:00:00+00:00,1.0,30.64,21.689999,26.285833,2023,7,Julio,27.06796242857143,ESMAD2800000028240A
2023-07-30 00:00:00+00:00,51.0,30.39,22.939999,26.331667,2023,7,Julio,25.866271214285714,ESMAD2800000028240A
2023-07-31 00:00:00+00:00,51.0,29.49,22.34,26.075417,2023,7,Julio,20.59979842857143,ESMAD2800000028240A
