date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,year,month_number,month_name,relative_humidity_2m,estación
2024-01-01 00:00:00+00:00,3.0,13.84,4.09,7.873333,2024,1,Enero,74.61127371428572,ESMAD2800000028240A
2024-01-02 00:00:00+00:00,51.0,16.939999,3.14,10.073333,2024,1,Enero,88.29657892857144,ESMAD2800000028240A
2024-01-03 00:00:00+00:00,3.0,20.689999,9.79,14.660835,2024,1,Enero,93.18920385714286,ESMAD2800000028240A
2024-01-04 00:00:00+00:00,51.0,16.34,6.04,11.235833,2024,1,Enero,94.37988585714285,ESMAD2800000028240A
2024-01-05 00:00:00+00:00,63.0,15.84,8.490001,10.806667,2024,1,Enero,78.11112685714285,ESMAD2800000028240A
2024-01-06 00:00:00+00:00,51.0,15.14,7.44,10.231666,2024,1,Enero,75.00179507142857,ESMAD2800000028240A
2024-01-07 00:00:00+00:00,1.0,14.04,6.39,9.175416,2024,1,Enero,72.34719028571429,ESMAD2800000028240A
2024-01-08 00:00:00+00:00,1.0,12.54,2.44,6.8629155,2024,1,Enero,68.60943999999999,ESMAD2800000028240A
2024-01-09 00:00:00+00:00,51.0,10.940001,-1.36,4.9066668,2024,1,Enero,86.360713,ESMAD2800000028240A
2024-01-10 00:00:00+00:00,61.0,10.14,4.49,7.7733326,2024,1,Enero,83.84492192857144,ESMAD2800000028240A
2024-01-11 00:00:00+00:00,51.0,12.09,3.5900002,6.671249,2024,1,Enero,69.34296878571429,ESMAD2800000028240A
2024-01-12 00:00:00+00:00,3.0,13.690001,3.69,7.1858344,2024,1,Enero,70.83565135714285,ESMAD2800000028240A
2024-01-13 00:00:00+00:00,3.0,13.490001,2.44,6.5129166,2024,1,Enero,77.71181328571429,ESMAD2800000028240A
2024-01-14 00:00:00+00:00,3.0,15.940001,3.44,10.642083,2024,1,Enero,88.15523114285715,ESMAD2800000028240A
2024-01-15 00:00:00+00:00,3.0,18.89,7.29,12.281667,2024,1,Enero,91.00023021428571,ESMAD2800000028240A
2024-01-16 00:00:00+00:00,3.0,17.64,7.14,11.848332,2024,1,Enero,91.69381942857142,ESMAD2800000028240A
2024-01-17 00:00:00+00:00,53.0,17.64,9.54,14.108749,2024,1,Enero,91.29467621428572,ESMAD2800000028240A
2024-01-18 00:00:00+00:00,3.0,20.49,13.440001,15.902501,2024,1,Enero,88.20278778571428,ESMAD2800000028240A
2024-01-19 00:00:00+00:00,61.0,13.29,7.3399997,9.548333,2024,1,Enero,88.04870528571429,ESMAD2800000028240A
2024-01-20 00:00:00+00:00,3.0,12.39,4.8399997,7.8295836,2024,1,Enero,69.30016414285714,ESMAD2800000028240A
2024-01-21 00:00:00+00:00,3.0,14.04,0.74,6.3858337,2024,1,Enero,78.71181414285715,ESMAD2800000028240A
2024-01-22 00:00:00+00:00,3.0,15.990001,1.09,7.4337506,2024,1,Enero,81.61330607142858,ESMAD2800000028240A
2024-01-23 00:00:00+00:00,3.0,16.34,4.19,9.183749,2024,1,Enero,85.5522227142857,ESMAD2800000028240A
2024-01-24 00:00:00+00:00,3.0,19.59,6.19,10.994166,2024,1,Enero,60.64483014285714,ESMAD2800000028240A
2024-01-25 00:00:00+00:00,3.0,19.99,6.0899997,11.585834,2024,1,Enero,60.63414164285714,ESMAD2800000028240A
2024-01-26 00:00:00+00:00,3.0,20.89,5.79,11.833749,2024,1,Enero,53.35927935714285,ESMAD2800000028240A
2024-01-27 00:00:00+00:00,3.0,17.939999,4.29,10.400416,2024,1,Enero,57.120676,ESMAD2800000028240A
2024-01-28 00:00:00+00:00,3.0,14.940001,5.44,10.023332,2024,1,Enero,68.21645435714285,ESMAD2800000028240A
2024-01-29 00:00:00+00:00,51.0,14.990001,9.690001,11.848332,2024,1,Enero,72.60557992857143,ESMAD2800000028240A
2024-01-30 00:00:00+00:00,51.0,15.89,7.69,11.6379175,2024,1,Enero,82.55826364285714,ESMAD2800000028240A
2024-01-31 00:00:00+00:00,3.0,15.690001,5.19,9.148333,2024,1,Enero,82.57309357142857,ESMAD2800000028240A
