date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,year,month_number,month_name,relative_humidity_2m,estación
2020-10-01 00:00:00+00:00,3.0,20.480999,11.481,15.185166,2020,10,Octubre,52.17063042857143,ESMAD2800000028240A
2020-10-02 00:00:00+00:00,61.0,12.931001,5.881,9.666416,2020,10,Octubre,59.25576507142858,ESMAD2800000028240A
2020-10-03 00:00:00+00:00,3.0,13.331,5.081,8.63725,2020,10,Octubre,52.527424214285716,ESMAD2800000028240A
2020-10-04 00:00:00+00:00,51.0,14.231,6.131,9.976834,2020,10,Octubre,56.215511142857146,ESMAD2800000028240A
2020-10-05 00:00:00+00:00,3.0,15.481,6.6809998,10.516417,2020,10,Octubre,57.291573071428566,ESMAD2800000028240A
2020-10-06 00:00:00+00:00,3.0,21.480999,10.781,15.03725,2020,10,Octubre,64.70525592857143,ESMAD2800000028240A
2020-10-07 00:00:00+00:00,3.0,21.980999,11.281,16.239334,2020,10,Octubre,52.83124564285714,ESMAD2800000028240A
2020-10-08 00:00:00+00:00,3.0,21.181,12.331,16.364332,2020,10,Octubre,56.24069171428572,ESMAD2800000028240A
2020-10-09 00:00:00+00:00,3.0,23.581,12.931001,17.466417,2020,10,Octubre,45.92373085714286,ESMAD2800000028240A
2020-10-10 00:00:00+00:00,3.0,20.880999,9.6310005,15.11225,2020,10,Octubre,50.173780428571426,ESMAD2800000028240A
2020-10-11 00:00:00+00:00,3.0,15.931001,6.5309997,10.347666,2020,10,Octubre,44.18785735714285,ESMAD2800000028240A
2020-10-12 00:00:00+00:00,3.0,15.531,4.481,9.783083,2020,10,Octubre,49.537916071428576,ESMAD2800000028240A
2020-10-13 00:00:00+00:00,2.0,19.630999,9.831,13.958083,2020,10,Octubre,47.319389928571425,ESMAD2800000028240A
2020-10-14 00:00:00+00:00,3.0,14.031,6.5309997,9.758083,2020,10,Octubre,44.08963064285714,ESMAD2800000028240A
2020-10-15 00:00:00+00:00,3.0,13.531,4.631,8.403916,2020,10,Octubre,51.698611500000005,ESMAD2800000028240A
2020-10-16 00:00:00+00:00,3.0,13.6310005,3.081,7.960167,2020,10,Octubre,45.134998714285715,ESMAD2800000028240A
2020-10-17 00:00:00+00:00,3.0,16.880999,3.931,9.778916,2020,10,Octubre,39.77677142857143,ESMAD2800000028240A
2020-10-18 00:00:00+00:00,3.0,17.831,6.9309998,12.1935,2020,10,Octubre,41.126341857142855,ESMAD2800000028240A
2020-10-19 00:00:00+00:00,3.0,19.431,7.381,13.67475,2020,10,Octubre,41.43643314285714,ESMAD2800000028240A
2020-10-20 00:00:00+00:00,63.0,15.1310005,9.981,12.147667,2020,10,Octubre,89.52146535714284,ESMAD2800000028240A
2020-10-21 00:00:00+00:00,63.0,14.231,9.781,11.151834,2020,10,Octubre,85.60205328571429,ESMAD2800000028240A
2020-10-22 00:00:00+00:00,63.0,12.981,9.481,10.647666,2020,10,Octubre,91.67415414285713,ESMAD2800000028240A
2020-10-23 00:00:00+00:00,53.0,12.581,6.731,9.035167,2020,10,Octubre,72.22465664285714,ESMAD2800000028240A
2020-10-24 00:00:00+00:00,2.0,13.1310005,5.081,8.689333,2020,10,Octubre,79.53487828571429,ESMAD2800000028240A
2020-10-25 00:00:00+00:00,61.0,10.3810005,5.981,8.270583,2020,10,Octubre,90.59813164285715,ESMAD2800000028240A
2020-10-26 00:00:00+00:00,3.0,9.831,3.8810003,6.24975,2020,10,Octubre,63.73332164285715,ESMAD2800000028240A
2020-10-27 00:00:00+00:00,61.0,13.431001,4.231,8.018498,2020,10,Octubre,71.77739407142857,ESMAD2800000028240A
2020-10-28 00:00:00+00:00,51.0,12.581,7.6809998,9.481,2020,10,Octubre,91.58938614285715,ESMAD2800000028240A
2020-10-29 00:00:00+00:00,3.0,13.481,5.6809998,9.003917,2020,10,Octubre,81.22538507142858,ESMAD2800000028240A
2020-10-30 00:00:00+00:00,1.0,16.281,6.131,10.839334,2020,10,Octubre,70.87914471428572,ESMAD2800000028240A
2020-10-31 00:00:00+00:00,3.0,18.630999,9.531,12.972665,2020,10,Octubre,67.38584485714286,ESMAD2800000028240A
