date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,year,month_number,month_name,relative_humidity_2m,estación
2020-03-02,61.0,8.581,3.131,6.308082,2020,3,Marzo,56.7047705,ESMAD2800000028240A
2020-03-03,51.0,13.781,2.7810001,8.176833,2020,3,Marzo,72.207409,ESMAD2800000028240A
2020-03-04,51.0,14.531,8.031,10.745584,2020,3,Marzo,62.64903442857143,ESMAD2800000028240A
2020-03-05,51.0,11.931001,4.631,8.435166,2020,3,Marzo,61.37881328571429,ESMAD2800000028240A
2020-03-06,3.0,8.1310005,2.381,5.0685,2020,3,Marzo,49.16291028571429,ESMAD2800000028240A
2020-03-07,3.0,11.581,1.081,5.841417,2020,3,Marzo,62.187916,ESMAD2800000028240A
2020-03-08,3.0,14.081,1.1309999,7.583084,2020,3,Marzo,51.14795635714285,ESMAD2800000028240A
2020-03-09,3.0,13.181001,4.231,8.247666,2020,3,Marzo,48.681041785714285,ESMAD2800000028240A
2020-03-10,3.0,20.380999,7.381,13.008082,2020,3,Marzo,50.64196014285714,ESMAD2800000028240A
2020-03-11,3.0,22.031,9.081,15.556001,2020,3,Marzo,49.96190335714285,ESMAD2800000028240A
2020-03-12,3.0,21.831,11.781,16.52475,2020,3,Marzo,43.760223,ESMAD2800000028240A
2020-03-13,3.0,19.480999,9.431001,13.616417,2020,3,Marzo,52.978848642857145,ESMAD2800000028240A
2020-03-14,3.0,18.880999,7.4309998,13.099751,2020,3,Marzo,45.50421014285714,ESMAD2800000028240A
2020-03-15,53.0,16.880999,7.7809997,11.2351675,2020,3,Marzo,67.04140828571428,ESMAD2800000028240A
2020-03-16,75.0,5.9309998,1.6309999,3.0247505,2020,3,Marzo,89.74598292857142,ESMAD2800000028240A
2020-03-17,71.0,13.531,2.831,7.8705826,2020,3,Marzo,76.93584728571429,ESMAD2800000028240A
2020-03-18,3.0,16.681,5.581,10.893501,2020,3,Marzo,60.36676485714286,ESMAD2800000028240A
2020-03-19,3.0,14.731,6.981,10.033084,2020,3,Marzo,59.70465792857143,ESMAD2800000028240A
2020-03-20,51.0,9.681001,6.331,7.9664173,2020,3,Marzo,80.43685142857143,ESMAD2800000028240A
2020-03-21,61.0,7.331,3.2810001,5.7643332,2020,3,Marzo,90.93582521428571,ESMAD2800000028240A
2020-03-22,61.0,9.3810005,4.131,6.3018327,2020,3,Marzo,78.88857278571427,ESMAD2800000028240A
2020-03-23,63.0,11.031,5.381,7.2205834,2020,3,Marzo,79.37827957142858,ESMAD2800000028240A
2020-03-24,51.0,12.1310005,5.2809997,8.17475,2020,3,Marzo,65.14242478571428,ESMAD2800000028240A
2020-03-25,51.0,13.8810005,3.8810003,8.920585,2020,3,Marzo,48.64787492857143,ESMAD2800000028240A
2020-03-26,1.0,11.1310005,1.581,6.2726665,2020,3,Marzo,51.051529714285714,ESMAD2800000028240A
2020-03-27,73.0,7.881,0.681,3.9955826,2020,3,Marzo,56.16668842857143,ESMAD2800000028240A
2020-03-28,3.0,13.081,0.931,6.7018332,2020,3,Marzo,47.98803278571428,ESMAD2800000028240A
2020-03-29,3.0,14.6310005,2.431,9.410167,2020,3,Marzo,48.54629071428571,ESMAD2800000028240A
2020-03-30,73.0,7.881,0.531,3.4622498,2020,3,Marzo,74.592941,ESMAD2800000028240A
2020-03-31,75.0,6.131,0.181,2.5830834,2020,3,Marzo,95.47932014285712,ESMAD2800000028240A
2020-04-01,63.0,9.581,2.881,5.74975,2020,4,Abril,79.85328157142858,ESMAD2800000028240A
2020-04-02,51.0,11.081,1.531,6.776834,2020,4,Abril,68.06208578571429,ESMAD2800000028240A
2020-04-03,0.0,13.731,0.63100004,7.643501,2020,4,Abril,50.945535,ESMAD2800000028240A
2020-04-04,51.0,14.681001,3.581,8.951833,2020,4,Abril,58.70255142857143,ESMAD2800000028240A
2020-04-05,51.0,14.931001,5.231,10.181001,2020,4,Abril,67.51070792857142,ESMAD2800000028240A
2020-04-06,53.0,14.331,8.331,11.1101675,2020,4,Abril,75.2382195,ESMAD2800000028240A
2020-04-07,63.0,14.931001,7.6809998,10.878917,2020,4,Abril,89.18874607142857,ESMAD2800000028240A
2020-04-08,51.0,16.380999,9.681001,12.533082,2020,4,Abril,75.76734171428572,ESMAD2800000028240A
2020-04-09,53.0,13.531,9.431001,11.026833,2020,4,Abril,81.22324357142857,ESMAD2800000028240A
2020-04-10,61.0,12.031,9.081,10.164333,2020,4,Abril,92.74561335714286,ESMAD2800000028240A
2020-04-11,61.0,14.431001,8.781,10.9122505,2020,4,Abril,82.89469178571429,ESMAD2800000028240A
2020-04-12,53.0,15.581,7.5309997,11.09975,2020,4,Abril,58.369295,ESMAD2800000028240A
2020-04-13,53.0,13.931001,6.581,9.766416,2020,4,Abril,71.3919015,ESMAD2800000028240A
2020-04-14,63.0,13.781,7.831,10.087252,2020,4,Abril,84.05433514285714,ESMAD2800000028240A
2020-04-15,63.0,11.831,7.831,9.178916,2020,4,Abril,86.94932121428572,ESMAD2800000028240A
2020-04-16,63.0,14.031,7.4309998,9.778916,2020,4,Abril,86.33770492857143,ESMAD2800000028240A
2020-04-17,61.0,13.081,7.831,9.926833,2020,4,Abril,82.02734814285714,ESMAD2800000028240A
2020-04-18,51.0,15.531,7.831,11.503918,2020,4,Abril,66.99550442857142,ESMAD2800000028240A
2020-04-19,63.0,14.481,7.1809998,10.73725,2020,4,Abril,68.92020328571428,ESMAD2800000028240A
2020-04-20,51.0,14.081,7.081,10.289333,2020,4,Abril,66.400739,ESMAD2800000028240A
2020-04-21,53.0,12.231,6.581,9.078917,2020,4,Abril,72.28808571428571,ESMAD2800000028240A
2020-04-22,3.0,15.231,6.581,11.291416,2020,4,Abril,59.694295357142856,ESMAD2800000028240A
2020-04-23,51.0,15.331,9.331,12.122666,2020,4,Abril,76.25489357142858,ESMAD2800000028240A
2020-04-24,51.0,17.380999,8.8810005,12.974751,2020,4,Abril,64.95186314285715,ESMAD2800000028240A
2020-04-25,53.0,17.380999,9.3810005,12.876834,2020,4,Abril,67.91358957142857,ESMAD2800000028240A
2020-04-26,63.0,15.531,8.731,11.8289175,2020,4,Abril,73.01352292857143,ESMAD2800000028240A
2020-04-27,61.0,13.3810005,6.0309997,9.583082,2020,4,Abril,70.75683814285715,ESMAD2800000028240A
2020-04-28,51.0,13.531,5.5309997,9.510167,2020,4,Abril,53.922117785714285,ESMAD2800000028240A
2020-04-29,3.0,15.031,5.231,9.945583,2020,4,Abril,67.98087142857143,ESMAD2800000028240A
2020-04-30,51.0,14.8810005,7.381,11.116417,2020,4,Abril,65.92426357142857,ESMAD2800000028240A
2020-05-01,51.0,19.380999,7.731,13.689334,2020,5,Mayo,62.621065,ESMAD2800000028240A
2020-05-02,3.0,22.380999,9.681001,15.595584,2020,5,Mayo,61.515391214285714,ESMAD2800000028240A
2020-05-03,3.0,23.681,11.981,17.945583,2020,5,Mayo,49.17316214285714,ESMAD2800000028240A
2020-05-04,3.0,25.130999,14.3810005,18.614332,2020,5,Mayo,53.07064021428572,ESMAD2800000028240A
2020-05-05,3.0,19.031,10.031,14.4935,2020,5,Mayo,38.25573542857143,ESMAD2800000028240A
2020-05-06,3.0,19.980999,9.331,15.170585,2020,5,Mayo,41.9955115,ESMAD2800000028240A
2020-05-07,51.0,22.531,12.081,17.139334,2020,5,Mayo,52.00299785714286,ESMAD2800000028240A
2020-05-08,53.0,22.181,10.1310005,16.456001,2020,5,Mayo,53.63350592857143,ESMAD2800000028240A
2020-05-09,53.0,17.230999,11.081,14.528916,2020,5,Mayo,59.0505675,ESMAD2800000028240A
2020-05-10,51.0,16.281,8.331,12.045585,2020,5,Mayo,46.436974,ESMAD2800000028240A
2020-05-11,51.0,15.481,7.581,11.310166,2020,5,Mayo,68.15655771428571,ESMAD2800000028240A
2020-05-12,63.0,12.481,8.181001,9.806001,2020,5,Mayo,90.87498792857144,ESMAD2800000028240A
2020-05-13,51.0,14.731,5.9309998,11.0435,2020,5,Mayo,67.69488842857143,ESMAD2800000028240A
2020-05-14,61.0,12.481,8.281,9.660167,2020,5,Mayo,72.41047014285714,ESMAD2800000028240A
2020-05-15,63.0,13.831,6.081,10.322666,2020,5,Mayo,77.354663,ESMAD2800000028240A
2020-05-16,63.0,15.281,8.031,11.645583,2020,5,Mayo,67.47159378571429,ESMAD2800000028240A
2020-05-17,3.0,19.031,7.2809997,13.185166,2020,5,Mayo,47.46039942857143,ESMAD2800000028240A
2020-05-18,1.0,22.031,8.831,16.0435,2020,5,Mayo,41.247645285714285,ESMAD2800000028240A
2020-05-19,3.0,23.630999,10.331,17.445583,2020,5,Mayo,47.14650271428571,ESMAD2800000028240A
2020-05-20,2.0,25.380999,13.331,19.589334,2020,5,Mayo,33.25811157142857,ESMAD2800000028240A
2020-05-21,3.0,26.181,11.8810005,20.093498,2020,5,Mayo,39.614133357142855,ESMAD2800000028240A
2020-05-22,3.0,26.931,14.6310005,21.558084,2020,5,Mayo,37.80549285714286,ESMAD2800000028240A
2020-05-23,3.0,26.730999,15.731,21.378914,2020,5,Mayo,44.63123007142857,ESMAD2800000028240A
2020-05-24,3.0,24.581,14.931001,19.910166,2020,5,Mayo,49.59052421428572,ESMAD2800000028240A
2020-05-25,63.0,24.681,15.481,19.243498,2020,5,Mayo,65.946327,ESMAD2800000028240A
2020-05-26,53.0,21.831,13.281,17.235167,2020,5,Mayo,67.20937407142857,ESMAD2800000028240A
2020-05-27,1.0,24.230999,13.6310005,19.103916,2020,5,Mayo,44.25169071428572,ESMAD2800000028240A
2020-05-28,0.0,23.880999,12.681001,18.524752,2020,5,Mayo,39.27078657142857,ESMAD2800000028240A
2020-05-29,1.0,25.581,13.481,19.695585,2020,5,Mayo,42.78525342857143,ESMAD2800000028240A
2020-05-30,3.0,26.931,14.331,20.693499,2020,5,Mayo,39.69461735714286,ESMAD2800000028240A
2020-05-31,53.0,25.730999,15.981,20.203915,2020,5,Mayo,44.995382,ESMAD2800000028240A
2020-06-01,51.0,24.130999,13.781,19.078917,2020,6,Junio,49.06826121428571,ESMAD2800000028240A
2020-06-02,3.0,25.230999,15.731,20.103918,2020,6,Junio,40.196985,ESMAD2800000028240A
2020-06-03,53.0,24.281,14.431001,19.008081,2020,6,Junio,50.43151392857143,ESMAD2800000028240A
2020-06-04,63.0,18.581,12.1310005,15.228917,2020,6,Junio,46.51664342857142,ESMAD2800000028240A
2020-06-05,1.0,23.681,9.281,16.951834,2020,6,Junio,43.91884557142857,ESMAD2800000028240A
2020-06-06,3.0,22.781,13.331,18.37475,2020,6,Junio,37.44867664285714,ESMAD2800000028240A
2020-06-07,63.0,19.431,12.281,15.17475,2020,6,Junio,60.32782342857143,ESMAD2800000028240A
2020-06-08,3.0,17.880999,9.331,13.289333,2020,6,Junio,41.39433721428571,ESMAD2800000028240A
2020-06-09,1.0,19.581,7.0309997,13.5789175,2020,6,Junio,39.0099605,ESMAD2800000028240A
2020-06-10,3.0,21.980999,9.081,15.914334,2020,6,Junio,40.870848,ESMAD2800000028240A
2020-06-11,3.0,20.281,11.531,16.047668,2020,6,Junio,45.68649857142857,ESMAD2800000028240A
2020-06-12,51.0,15.431001,6.881,11.689334,2020,6,Junio,53.75615235714286,ESMAD2800000028240A
2020-06-13,3.0,18.931,8.081,13.872666,2020,6,Junio,42.875735500000005,ESMAD2800000028240A
2020-06-14,3.0,21.931,10.581,16.489332,2020,6,Junio,38.739684,ESMAD2800000028240A
2020-06-15,51.0,22.281,10.981,17.166418,2020,6,Junio,42.16604314285714,ESMAD2800000028240A
2020-06-16,3.0,20.880999,12.3810005,16.539333,2020,6,Junio,40.751428,ESMAD2800000028240A
2020-06-17,3.0,22.081,10.3810005,16.501833,2020,6,Junio,33.63439121428571,ESMAD2800000028240A
2020-06-18,3.0,24.081,10.981,18.42475,2020,6,Junio,34.42693507142857,ESMAD2800000028240A
2020-06-19,2.0,26.831,12.831,20.2435,2020,6,Junio,30.538326,ESMAD2800000028240A
2020-06-20,3.0,29.130999,14.681001,22.543497,2020,6,Junio,24.95840892857143,ESMAD2800000028240A
2020-06-21,1.0,29.480999,16.230999,23.508085,2020,6,Junio,23.753498285714283,ESMAD2800000028240A
2020-06-22,0.0,30.480999,16.681,24.256002,2020,6,Junio,24.916370785714285,ESMAD2800000028240A
2020-06-23,2.0,32.381,19.130999,25.716417,2020,6,Junio,26.47994521428572,ESMAD2800000028240A
2020-06-24,53.0,27.980999,20.681,23.889334,2020,6,Junio,40.08230614285714,ESMAD2800000028240A
2020-06-25,3.0,29.031,18.880999,23.978918,2020,6,Junio,33.764896642857146,ESMAD2800000028240A
2020-06-26,3.0,27.031,17.630999,22.741415,2020,6,Junio,24.46687485714286,ESMAD2800000028240A
2020-06-27,3.0,28.581,15.281,22.312248,2020,6,Junio,33.95896428571429,ESMAD2800000028240A
2020-06-28,3.0,30.480999,16.431,24.135164,2020,6,Junio,30.70151507142857,ESMAD2800000028240A
2020-06-29,1.0,32.681,17.831,25.86225,2020,6,Junio,25.335936642857146,ESMAD2800000028240A
2020-06-30,1.0,33.031002,20.480999,26.670586,2020,6,Junio,23.091393714285715,ESMAD2800000028240A
2020-07-01,3.0,30.880999,18.781,25.787247,2020,7,Julio,23.04575257142857,ESMAD2800000028240A
2020-07-02,51.0,28.831,17.331,23.46225,2020,7,Julio,26.210904285714285,ESMAD2800000028240A
2020-07-03,0.0,28.431,13.431001,21.597664,2020,7,Julio,24.654478714285712,ESMAD2800000028240A
2020-07-04,0.0,30.531,16.380999,24.08725,2020,7,Julio,17.335035142857144,ESMAD2800000028240A
2020-07-05,1.0,32.881,18.331,26.168503,2020,7,Julio,20.62481592857143,ESMAD2800000028240A
2020-07-06,1.0,32.931,20.281,27.158083,2020,7,Julio,26.388848071428573,ESMAD2800000028240A
2020-07-07,3.0,35.131,20.531,27.685165,2020,7,Julio,19.419534857142857,ESMAD2800000028240A
2020-07-08,3.0,32.531002,21.531,26.7685,2020,7,Julio,24.937828,ESMAD2800000028240A
2020-07-09,51.0,29.031,20.230999,24.228918,2020,7,Julio,31.211634714285715,ESMAD2800000028240A
2020-07-10,3.0,29.630999,17.230999,23.866419,2020,7,Julio,31.526347571428573,ESMAD2800000028240A
2020-07-11,3.0,31.831,18.880999,25.764334,2020,7,Julio,28.30445657142857,ESMAD2800000028240A
2020-07-12,55.0,27.380999,19.431,23.560165,2020,7,Julio,41.78933042857143,ESMAD2800000028240A
2020-07-13,51.0,29.781,18.031,24.083082,2020,7,Julio,34.73533221428571,ESMAD2800000028240A
2020-07-14,3.0,29.831,16.581,23.499748,2020,7,Julio,21.547260642857143,ESMAD2800000028240A
2020-07-15,3.0,29.480999,16.380999,22.89975,2020,7,Julio,24.49087471428572,ESMAD2800000028240A
2020-07-16,3.0,31.880999,17.831,24.841415,2020,7,Julio,24.648827,ESMAD2800000028240A
2020-07-17,2.0,31.331,17.781,24.620584,2020,7,Julio,18.64459917857143,ESMAD2800000028240A
2020-07-18,0.0,33.131,16.730999,24.801834,2020,7,Julio,16.875485942857143,ESMAD2800000028240A
2020-07-19,1.0,33.031002,20.031,27.131002,2020,7,Julio,19.991666785714283,ESMAD2800000028240A
2020-07-20,0.0,33.631,19.880999,27.21225,2020,7,Julio,16.6346695,ESMAD2800000028240A
2020-07-21,51.0,29.630999,20.581,25.456,2020,7,Julio,33.762605785714285,ESMAD2800000028240A
2020-07-22,51.0,28.331,19.480999,24.289331,2020,7,Julio,33.02648885714286,ESMAD2800000028240A
2020-07-23,2.0,31.981,19.681,26.418497,2020,7,Julio,28.184267857142856,ESMAD2800000028240A
2020-07-24,2.0,32.681,20.931,27.010172,2020,7,Julio,23.38348164285714,ESMAD2800000028240A
2020-07-25,1.0,33.631,19.581,27.028921,2020,7,Julio,21.688770785714286,ESMAD2800000028240A
2020-07-26,0.0,35.031002,20.630999,28.466421,2020,7,Julio,16.520778535714285,ESMAD2800000028240A
2020-07-27,1.0,35.531002,22.130999,29.172668,2020,7,Julio,22.47961964285714,ESMAD2800000028240A
2020-07-28,2.0,31.831,21.031,27.206,2020,7,Julio,27.76875835714285,ESMAD2800000028240A
2020-07-29,2.0,33.631,22.130999,28.060167,2020,7,Julio,24.111340785714283,ESMAD2800000028240A
2020-07-30,3.0,34.131,21.931,27.88725,2020,7,Julio,25.619886142857144,ESMAD2800000028240A
2020-07-31,1.0,34.781002,21.730999,28.389334,2020,7,Julio,16.58914275,ESMAD2800000028240A
2020-08-01,1.0,34.231003,21.230999,28.166422,2020,8,Agosto,17.36146114285714,ESMAD2800000028240A
2020-08-02,3.0,31.431,19.181,25.289331,2020,8,Agosto,30.044574,ESMAD2800000028240A
2020-08-03,3.0,28.380999,17.781,23.22267,2020,8,Agosto,26.350313571428572,ESMAD2800000028240A
2020-08-04,3.0,30.031,16.031,23.31225,2020,8,Agosto,25.902576928571428,ESMAD2800000028240A
2020-08-05,1.0,32.831,18.281,26.049753,2020,8,Agosto,23.8612965,ESMAD2800000028240A
2020-08-06,1.0,33.481003,21.480999,27.599752,2020,8,Agosto,29.010339214285715,ESMAD2800000028240A
2020-08-07,1.0,34.481003,22.181,28.391418,2020,8,Agosto,24.682484357142854,ESMAD2800000028240A
2020-08-08,3.0,31.630999,22.730999,27.633081,2020,8,Agosto,27.410525642857145,ESMAD2800000028240A
