date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,year,month_number,month_name,relative_humidity_2m,estación
2020-12-01 00:00:00+00:00,3.0,14.905001,2.655,7.4049993,2020,12,Diciembre,59.5529985,ESMAD2800000028240A
2020-12-02 00:00:00+00:00,3.0,9.505,1.505,6.477917,2020,12,Diciembre,62.815111928571426,ESMAD2800000028240A
2020-12-03 00:00:00+00:00,3.0,8.755,-1.8950001,3.2925003,2020,12,Diciembre,66.89544292857143,ESMAD2800000028240A
2020-12-04 00:00:00+00:00,61.0,7.355,1.2049999,4.9237504,2020,12,Diciembre,68.9193315,ESMAD2800000028240A
2020-12-05 00:00:00+00:00,3.0,7.305,0.305,3.346667,2020,12,Diciembre,69.45803042857143,ESMAD2800000028240A
2020-12-06 00:00:00+00:00,51.0,8.405001,0.955,4.3570833,2020,12,Diciembre,74.58754971428571,ESMAD2800000028240A
2020-12-07 00:00:00+00:00,53.0,9.6050005,5.1549997,7.115416,2020,12,Diciembre,78.900049,ESMAD2800000028240A
2020-12-08 00:00:00+00:00,61.0,9.005,3.2050002,6.0279164,2020,12,Diciembre,70.23572828571429,ESMAD2800000028240A
2020-12-09 00:00:00+00:00,3.0,9.255,1.9049999,4.688334,2020,12,Diciembre,69.74403992857142,ESMAD2800000028240A
2020-12-10 00:00:00+00:00,53.0,12.755,5.105,9.107083,2020,12,Diciembre,80.70752942857143,ESMAD2800000028240A
2020-12-11 00:00:00+00:00,55.0,15.1050005,11.3550005,12.502917,2020,12,Diciembre,78.88390485714285,ESMAD2800000028240A
2020-12-12 00:00:00+00:00,2.0,13.6050005,5.855,9.925834,2020,12,Diciembre,72.79242242857143,ESMAD2800000028240A
2020-12-13 00:00:00+00:00,3.0,11.755,3.105,7.807083,2020,12,Diciembre,82.57202635714286,ESMAD2800000028240A
2020-12-14 00:00:00+00:00,61.0,11.405001,8.205,9.494582,2020,12,Diciembre,97.69997642857143,ESMAD2800000028240A
2020-12-15 00:00:00+00:00,3.0,10.455,4.305,7.782083,2020,12,Diciembre,82.03589157142858,ESMAD2800000028240A
2020-12-16 00:00:00+00:00,53.0,11.005,3.055,7.0425,2020,12,Diciembre,95.62997964285715,ESMAD2800000028240A
2020-12-17 00:00:00+00:00,3.0,12.555,4.055,8.344583,2020,12,Diciembre,83.87012721428572,ESMAD2800000028240A
2020-12-18 00:00:00+00:00,51.0,9.305,3.7050002,6.23,2020,12,Diciembre,94.63373107142857,ESMAD2800000028240A
2020-12-19 00:00:00+00:00,61.0,8.405001,6.355,7.2966657,2020,12,Diciembre,98.20900307142857,ESMAD2800000028240A
2020-12-20 00:00:00+00:00,3.0,10.8550005,3.905,6.3800006,2020,12,Diciembre,79.22426942857143,ESMAD2800000028240A
2020-12-21 00:00:00+00:00,51.0,10.6050005,5.2549996,7.3695846,2020,12,Diciembre,93.02639935714286,ESMAD2800000028240A
2020-12-22 00:00:00+00:00,3.0,10.255,5.4049997,7.8091664,2020,12,Diciembre,94.8555532857143,ESMAD2800000028240A
2020-12-23 00:00:00+00:00,3.0,10.505,4.7549996,7.4737496,2020,12,Diciembre,92.1400797142857,ESMAD2800000028240A
2020-12-24 00:00:00+00:00,51.0,9.6050005,4.5049996,7.9675,2020,12,Diciembre,68.14119785714286,ESMAD2800000028240A
2020-12-25 00:00:00+00:00,1.0,8.305,-0.29500002,3.8279169,2020,12,Diciembre,61.460662285714285,ESMAD2800000028240A
2020-12-26 00:00:00+00:00,3.0,8.455,-1.695,2.3779166,2020,12,Diciembre,75.37410992857143,ESMAD2800000028240A
2020-12-27 00:00:00+00:00,51.0,5.6549997,-3.345,1.6383332,2020,12,Diciembre,71.86853607142857,ESMAD2800000028240A
2020-12-28 00:00:00+00:00,55.0,8.405001,1.3549999,5.3320837,2020,12,Diciembre,64.0818985,ESMAD2800000028240A
2020-12-29 00:00:00+00:00,51.0,7.105,0.305,3.057083,2020,12,Diciembre,70.64566542857143,ESMAD2800000028240A
2020-12-30 00:00:00+00:00,3.0,8.455,-0.445,2.965417,2020,12,Diciembre,70.89072085714285,ESMAD2800000028240A
2020-12-31 00:00:00+00:00,61.0,7.0049996,-2.495,2.1029165,2020,12,Diciembre,83.33636785714285,ESMAD2800000028240A
