date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,year,month_number,month_name,relative_humidity_2m,estación
2023-04-01 00:00:00+00:00,3.0,19.705,9.705,14.000834,2023,4,Abril,54.53308207142857,ESMAD2800000028240A
2023-04-02 00:00:00+00:00,2.0,18.305,3.155,11.265416,2023,4,Abril,38.37283885714286,ESMAD2800000028240A
2023-04-03 00:00:00+00:00,3.0,19.155,2.905,11.68625,2023,4,Abril,18.43367542857143,ESMAD2800000028240A
2023-04-04 00:00:00+00:00,3.0,20.505001,6.055,13.327916,2023,4,Abril,17.995651642857144,ESMAD2800000028240A
2023-04-05 00:00:00+00:00,3.0,21.305,3.405,13.0425005,2023,4,Abril,11.508745821428572,ESMAD2800000028240A
2023-04-06 00:00:00+00:00,3.0,23.005001,5.9049997,14.986252,2023,4,Abril,16.0001325,ESMAD2800000028240A
2023-04-07 00:00:00+00:00,3.0,24.605,5.455,15.765416,2023,4,Abril,22.093357357142857,ESMAD2800000028240A
2023-04-08 00:00:00+00:00,3.0,26.205,6.955,17.54875,2023,4,Abril,18.01273235714286,ESMAD2800000028240A
2023-04-09 00:00:00+00:00,3.0,27.105,8.055,18.87375,2023,4,Abril,19.68086475,ESMAD2800000028240A
2023-04-10 00:00:00+00:00,3.0,27.605,10.455,19.782084,2023,4,Abril,21.567291500000003,ESMAD2800000028240A
2023-04-11 00:00:00+00:00,1.0,26.505001,10.055,18.5925,2023,4,Abril,27.730722214285713,ESMAD2800000028240A
2023-04-12 00:00:00+00:00,51.0,21.755001,10.005,15.365417,2023,4,Abril,49.86055007142857,ESMAD2800000028240A
2023-04-13 00:00:00+00:00,3.0,17.505001,6.605,11.809169,2023,4,Abril,37.75642107142857,ESMAD2800000028240A
2023-04-14 00:00:00+00:00,3.0,20.655,8.8550005,14.534165,2023,4,Abril,52.96073871428571,ESMAD2800000028240A
2023-04-15 00:00:00+00:00,3.0,24.505001,9.755,16.140417,2023,4,Abril,41.15241628571429,ESMAD2800000028240A
2023-04-16 00:00:00+00:00,1.0,24.255001,9.3550005,16.727917,2023,4,Abril,29.879567285714284,ESMAD2800000028240A
2023-04-17 00:00:00+00:00,0.0,24.705,8.3550005,16.759169,2023,4,Abril,22.94446607142857,ESMAD2800000028240A
2023-04-18 00:00:00+00:00,3.0,22.455,7.705,15.515416,2023,4,Abril,24.549758857142855,ESMAD2800000028240A
2023-04-19 00:00:00+00:00,3.0,24.205,8.6050005,16.782084,2023,4,Abril,34.025546142857145,ESMAD2800000028240A
2023-04-20 00:00:00+00:00,3.0,27.155,10.3550005,19.244581,2023,4,Abril,24.90531892857143,ESMAD2800000028240A
2023-04-21 00:00:00+00:00,51.0,25.805,11.205,18.798748,2023,4,Abril,39.56495407142857,ESMAD2800000028240A
2023-04-22 00:00:00+00:00,61.0,20.755001,11.955,15.577916,2023,4,Abril,38.27862035714286,ESMAD2800000028240A
2023-04-23 00:00:00+00:00,3.0,23.505001,8.555,16.184166,2023,4,Abril,34.827745928571424,ESMAD2800000028240A
2023-04-24 00:00:00+00:00,3.0,25.405,10.305,18.321665,2023,4,Abril,35.505189071428575,ESMAD2800000028240A
2023-04-25 00:00:00+00:00,3.0,28.905,12.555,20.844582,2023,4,Abril,29.685075642857147,ESMAD2800000028240A
2023-04-26 00:00:00+00:00,3.0,29.305,12.405001,21.444582,2023,4,Abril,25.972601,ESMAD2800000028240A
2023-04-27 00:00:00+00:00,3.0,31.205,13.205,22.890417,2023,4,Abril,21.586266785714287,ESMAD2800000028240A
2023-04-28 00:00:00+00:00,3.0,31.904999,15.305,23.992502,2023,4,Abril,24.3576725,ESMAD2800000028240A
2023-04-29 00:00:00+00:00,63.0,26.255001,16.455,21.52375,2023,4,Abril,44.559049214285714,ESMAD2800000028240A
2023-04-30 00:00:00+00:00,3.0,24.955,13.505,19.290415,2023,4,Abril,35.07178064285714,ESMAD2800000028240A
