date,temperature_2m,relative_humidity_2m
2021-03-19 00:00:00,2.0310001,68.97182
2021-03-19 01:00:00,2.0310001,73.18634
2021-03-19 02:00:00,1.831,77.31074
2021-03-19 03:00:00,1.731,79.018234
2021-03-19 04:00:00,1.581,76.41963
2021-03-19 05:00:00,1.581,76.98546
2021-03-19 06:00:00,1.781,80.487946
2021-03-19 07:00:00,1.9309999,81.994
2021-03-19 08:00:00,2.681,79.16293
2021-03-19 09:00:00,3.081,79.51156
2021-03-19 10:00:00,3.7810001,77.34628
2021-03-19 11:00:00,4.481,73.90878
2021-03-19 12:00:00,5.081,71.39431
2021-03-19 13:00:00,6.9309998,62.15269
2021-03-19 14:00:00,7.731,60.572647
2021-03-19 15:00:00,6.7809997,65.57687
2021-03-19 16:00:00,5.881,71.80781
2021-03-19 17:00:00,5.581,77.08338
2021-03-19 18:00:00,5.381,80.13531
2021-03-19 19:00:00,4.481,73.64173
2021-03-19 20:00:00,3.7310002,69.58287
2021-03-19 21:00:00,2.2810001,71.1013
2021-03-19 22:00:00,1.181,73.571014
2021-03-19 23:00:00,0.581,73.73369
