fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,dir,velmedia,racha,horaracha
2020-08-01,3195,"MADRID, RETIRO",MADRID,667,"29,5","0,0","21,5",05:40,"37,5",14:10,"941,6",Varias,"939,4",17,26,46,06:20,15,13:00,,,,
2020-08-02,3195,"MADRID, RETIRO",MADRID,667,"28,6","0,0","21,5",05:50,"35,6",14:10,"940,1",Varias,"936,9",18,34,52,06:30,21,15:10,,,,
2020-08-03,3195,"MADRID, RETIRO",MADRID,667,"24,0","0,0","17,0",06:10,"31,0",14:30,,,,,38,58,07:00,26,18:00,,,,
2020-08-04,3195,"MADRID, RETIRO",MADRID,667,"26,1","0,0","19,1",05:00,"33,1",13:40,"940,9",09,"936,7",19,34,52,06:30,29,Varias,,,,
2020-08-05,3195,"MADRID, RETIRO",MADRID,667,"27,8","0,0","20,5",Varias,"35,0",14:50,,,,,32,50,08:30,25,Varias,,,,
2020-08-06,3195,"MADRID, RETIRO",MADRID,667,"30,8","0,0","23,9",06:00,"37,7",14:40,"940,3",10,"937,1",00,,,,,,,,,
2020-08-07,3195,"MADRID, RETIRO",MADRID,667,"31,7","0,0","25,2",06:00,"38,2",14:40,"942,2",09,"939,0",00,36,50,07:00,27,15:00,88,"1,7","8,9",14:40
2020-08-08,3195,"MADRID, RETIRO",MADRID,667,"29,8","0,0","25,4",Varias,"34,2",15:20,"944,1",11,"940,2",18,39,42,Varias,30,Varias,88,"1,9","6,1",23:10
2020-08-09,3195,"MADRID, RETIRO",MADRID,667,"31,2","0,8","24,8",06:20,"37,6",14:10,"941,8",11,"936,3",18,30,40,06:30,25,18:00,,,,
2020-08-10,3195,"MADRID, RETIRO",MADRID,667,"26,1","1,1","21,2",06:30,"31,0",16:50,"938,3",11,"935,4",Varias,45,74,06:30,30,18:00,88,"1,9","13,6",20:50
2020-08-11,3195,"MADRID, RETIRO",MADRID,667,"19,7","26,6","15,0",21:05,"24,4",09:20,"941,2",14,"937,0",Varias,72,86,10:30,49,01:40,88,"1,4","9,7",09:50
2020-08-12,3195,"MADRID, RETIRO",MADRID,667,"20,9","0,0","14,6",05:05,"27,2",14:30,"940,0",11,"937,2",18,52,85,Varias,32,Varias,88,"0,3","2,5",Varias
2020-08-13,3195,"MADRID, RETIRO",MADRID,667,"23,2","0,0","16,9",05:10,"29,4",13:50,,,,,40,67,06:10,27,16:30,,,,
2020-08-14,3195,"MADRID, RETIRO",MADRID,667,"25,6","0,0","19,4",04:50,"31,9",13:00,"940,2",Varias,"936,6",18,32,56,05:00,23,13:00,88,"2,5","7,5",Varias
2020-08-15,3195,"MADRID, RETIRO",MADRID,667,"23,4","0,0","17,3",Varias,"29,5",13:45,"938,6",11,"936,1",18,30,54,06:40,18,Varias,88,"3,3","10,8",18:30
2020-08-16,3195,"MADRID, RETIRO",MADRID,667,"21,8","0,0","15,5",06:00,"28,2",14:05,"939,4",Varias,"937,2",18,34,53,05:50,27,18:00,88,"1,9","8,6",14:10
2020-08-17,3195,"MADRID, RETIRO",MADRID,667,"21,6","0,0","15,7",05:30,"27,5",15:50,"939,7",13,"937,8",16,44,66,06:40,29,16:10,88,"2,8","7,5",13:00
2020-08-18,3195,"MADRID, RETIRO",MADRID,667,"24,5","0,0","19,0",05:25,"30,0",16:15,"939,5",10,"936,8",18,45,65,07:30,33,16:30,88,"1,7","5,8",12:10
2020-08-19,3195,"MADRID, RETIRO",MADRID,667,"25,4","0,0","18,5",05:15,"32,3",14:05,"938,4",00,"932,3",18,42,73,07:00,22,14:40,88,"2,5","9,2",13:10
2020-08-20,3195,"MADRID, RETIRO",MADRID,667,"25,4","0,0","17,2",06:05,"33,6",13:35,"935,6",00,"932,8",Varias,26,46,06:50,17,18:00,88,"3,1","8,9",Varias
2020-08-21,3195,"MADRID, RETIRO",MADRID,667,"26,0","0,0","20,4",04:20,"31,6",14:15,"941,9",24,"935,4",00,53,79,06:50,32,14:40,88,"3,3","10,8",13:20
2020-08-22,3195,"MADRID, RETIRO",MADRID,667,"26,2","0,0","19,9",05:45,"32,4",14:20,"944,8",10,"941,7",00,38,66,04:00,21,16:20,88,"2,2","7,8",22:20
2020-08-23,3195,"MADRID, RETIRO",MADRID,667,"26,4","0,0","19,8",06:00,"33,0",Varias,"944,5",11,"940,5",20,31,51,Varias,20,Varias,88,"1,7","8,3",21:50
2020-08-24,3195,"MADRID, RETIRO",MADRID,667,"26,3","0,0","20,1",Varias,"32,5",14:40,"942,0",Varias,"938,3",18,37,49,09:50,28,Varias,88,"2,2","7,8",00:30
2020-08-25,3195,"MADRID, RETIRO",MADRID,667,"28,4","0,0","21,3",06:05,"35,6",13:30,"940,6",10,"933,7",18,31,54,08:40,22,18:00,88,"1,9","6,4",00:30
2020-08-26,3195,"MADRID, RETIRO",MADRID,667,"28,5","0,0","21,0",07:25,"36,0",14:35,"942,7",Varias,"940,3",00,30,44,07:00,19,18:00,88,"2,5","7,8",13:10
2020-08-27,3195,"MADRID, RETIRO",MADRID,667,"29,0","0,0","21,6",Varias,"36,4",13:15,"941,0",00,"934,6",24,30,46,05:30,23,Varias,88,"2,5","6,7",14:10
2020-08-28,3195,"MADRID, RETIRO",MADRID,667,"26,0","0,0","20,0",23:59,"32,0",13:15,"935,0",00,"929,8",Varias,40,55,06:40,23,18:10,88,"3,3","10,0",14:10
2020-08-29,3195,"MADRID, RETIRO",MADRID,667,"18,8","0,0","14,5",23:59,"23,0",15:55,"936,3",24,"930,6",00,39,59,03:00,33,Varias,88,"3,6","11,1",17:00
2020-08-30,3195,"MADRID, RETIRO",MADRID,667,"17,4","0,0","11,6",05:30,"23,1",13:30,"941,8",24,"936,3",00,39,55,07:00,31,18:00,88,"2,8","10,0",00:30
2020-08-31,3195,"MADRID, RETIRO",MADRID,667,"18,6","0,0","12,1",06:05,"25,0",13:55,"943,6",10,"939,9",18,40,58,06:30,29,Varias,88,"1,9","6,7",03:10
2020-09-01,3195,"MADRID, RETIRO",MADRID,667,"20,8","0,0","15,3",05:20,"26,4",15:50,"940,2",00,"935,8",18,32,43,00:30,27,18:00,88,"1,1","16,7",09:40
2020-09-02,3195,"MADRID, RETIRO",MADRID,667,"22,1","0,0","15,2",06:00,"29,0",14:15,"941,4",24,"937,4",00,39,51,07:00,29,Varias,88,"2,8","10,0",01:50
2020-09-03,3195,"MADRID, RETIRO",MADRID,667,"24,0","0,0","17,2",06:45,"30,8",14:15,"944,8",Varias,"941,4",00,33,50,08:50,24,18:00,88,"1,9","6,1",00:30
2020-09-04,3195,"MADRID, RETIRO",MADRID,667,"25,2","0,0","18,8",06:50,"31,6",14:45,"947,6",10,"943,6",18,38,55,03:10,27,18:00,88,"1,7","5,3",14:00
2020-09-05,3195,"MADRID, RETIRO",MADRID,667,"25,2","0,0","18,0",06:15,"32,3",14:15,"944,5",00,"939,7",19,39,63,05:30,28,Varias,88,"0,8","7,5",22:00
2020-09-06,3195,"MADRID, RETIRO",MADRID,667,"26,2","0,0","19,9",06:15,"32,4",13:45,"941,7",03,"937,3",18,35,48,Varias,26,15:30,88,"2,2","8,9",21:50
2020-09-07,3195,"MADRID, RETIRO",MADRID,667,"20,2","0,0","14,0",06:15,"26,3",14:15,"944,8",24,"941,6",16,38,55,06:40,26,Varias,88,"3,1","10,8",22:20
2020-09-08,3195,"MADRID, RETIRO",MADRID,667,"19,7","0,0","13,1",06:15,"26,3",14:05,"946,8",08,"944,0",16,40,55,Varias,27,18:00,88,"3,1","11,7",00:30
2020-09-09,3195,"MADRID, RETIRO",MADRID,667,"22,0","0,0","15,7",06:15,"28,2",13:55,"946,1",10,"942,3",18,38,50,Varias,30,18:00,88,"1,4","8,6",23:50
2020-09-10,3195,"MADRID, RETIRO",MADRID,667,"23,9","0,0","17,9",06:15,"29,9",13:45,"945,0",00,"939,6",19,40,54,06:30,31,18:00,88,"2,2","8,6",06:10
2020-09-11,3195,"MADRID, RETIRO",MADRID,667,"24,6","0,0","18,5",05:40,"30,8",13:30,"940,6",01,"937,4",18,37,50,07:00,29,16:20,88,"2,2","8,3",23:20
2020-09-12,3195,"MADRID, RETIRO",MADRID,667,"25,4","0,0","19,1",06:10,"31,6",13:50,,,,,35,46,06:30,28,14:40,88,"1,9","7,8",00:10
2020-09-13,3195,"MADRID, RETIRO",MADRID,667,"25,8","0,0","19,6",06:50,"32,1",13:10,,,,,37,50,Varias,29,14:30,88,"2,8","7,2",13:10
2020-09-14,3195,"MADRID, RETIRO",MADRID,667,"24,2","1,3","19,6",06:35,"28,8",15:15,"946,1",10,"942,3",18,44,67,23:59,34,18:00,88,"1,9","10,6",18:40
2020-09-15,3195,"MADRID, RETIRO",MADRID,667,"22,8","0,0","18,0",04:45,"27,5",13:55,"945,6",09,"942,8",18,49,84,04:30,32,14:40,88,"2,2","5,8",01:40
2020-09-16,3195,"MADRID, RETIRO",MADRID,667,"24,4","3,4","18,8",06:55,"30,0",14:00,"943,7",00,"938,9",Varias,42,69,12:00,35,Varias,88,"0,8","21,1",12:00
2020-09-17,3195,"MADRID, RETIRO",MADRID,667,"21,4","13,0","17,4",23:00,"25,5",12:30,"941,0",00,"936,4",20,76,94,23:59,46,12:00,,,,
2020-09-18,3195,"MADRID, RETIRO",MADRID,667,"17,8","22,2","15,0",23:59,"20,6",12:35,"938,2",15,"935,3",06,77,94,00:00,64,12:45,,,,
2020-09-19,3195,"MADRID, RETIRO",MADRID,667,"17,2","0,6","14,9",00:15,"19,6",13:15,"939,8",24,"937,4",00,75,94,Varias,60,13:15,,,,
2020-09-20,3195,"MADRID, RETIRO",MADRID,667,"18,9","0,0","16,1",06:00,"21,7",16:00,"941,6",24,"940,0",16,68,89,06:00,52,15:45,,,,
2020-09-21,3195,"MADRID, RETIRO",MADRID,667,"18,8","0,0","13,7",06:45,"23,9",13:55,"942,1",Varias,"939,8",16,,,,,,,,,
2020-09-22,3195,"MADRID, RETIRO",MADRID,667,"18,8","0,0","13,1",07:15,"24,4",13:05,"940,3",00,"937,0",16,,,,,,,,,
2020-09-23,3195,"MADRID, RETIRO",MADRID,667,"19,8","6,6","16,3",Varias,"23,2",13:45,"938,8",24,"936,3",16,,,,,,,,,
2020-09-24,3195,"MADRID, RETIRO",MADRID,667,"18,1","6,9","14,5",23:59,"21,7",16:15,"940,2",Varias,"937,5",16,73,96,08:10,46,19:00,28,"3,1","11,4",12:50
2020-09-25,3195,"MADRID, RETIRO",MADRID,667,"15,6","0,0","12,4",23:59,"18,8",13:10,"945,6",24,"940,1",01,44,59,02:40,34,14:50,32,"4,2","15,3",06:30
2020-09-26,3195,"MADRID, RETIRO",MADRID,667,"14,6","0,0","9,3",05:50,"20,0",15:50,"945,7",00,"937,4",24,54,72,07:00,37,14:40,31,"2,2","12,2",21:10
2020-09-27,3195,"MADRID, RETIRO",MADRID,667,"16,6","0,0","11,5",23:50,"21,7",13:20,"940,1",24,"936,8",03,50,80,07:00,28,15:20,02,"2,2","9,4",17:50
