fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,dir,velmedia,racha,horaracha
2022-01-01,3195,"MADRID, RETIRO",MADRID,667,"11,1","0,0","5,5",07:10,"16,7",14:50,"951,5",11,"949,3",14,51,85,02:10,29,13:40,,,,
2022-01-02,3195,"MADRID, RETIRO",MADRID,667,"9,8","0,0","5,1",07:40,"14,5",15:00,"952,2",10,"949,5",16,67,87,23:40,51,15:50,,,,
2022-01-03,3195,"MADRID, RETIRO",MADRID,667,"9,7","0,0","5,6",07:30,"13,8",15:50,"950,2",00,"942,8",24,81,96,23:50,68,13:50,,,,
2022-01-04,3195,"MADRID, RETIRO",MADRID,667,"8,6","7,3","5,2",05:30,"12,1",14:00,"942,9",00,"931,7",15,86,99,Varias,68,Varias,,,,
2022-01-05,3195,"MADRID, RETIRO",MADRID,667,"6,6","5,0","4,3",04:20,"8,9",14:00,"941,0",11,"936,9",21,77,99,20:50,54,14:10,,,,
2022-01-06,3195,"MADRID, RETIRO",MADRID,667,"4,4","0,0","1,1",07:40,"7,6",16:00,"944,0",24,"937,9",00,82,96,00:20,66,22:40,,,,
2022-01-07,3195,"MADRID, RETIRO",MADRID,667,"5,6","0,0","0,3",07:40,"10,9",14:50,"951,4",23,"944,0",00,69,92,07:40,46,15:00,,,,
2022-01-08,3195,"MADRID, RETIRO",MADRID,667,"3,8","0,0","-0,2",07:10,"7,8",15:50,"951,4",11,"945,3",23,82,95,Varias,63,22:30,,,,
2022-01-09,3195,"MADRID, RETIRO",MADRID,667,"8,0","0,0","2,8",04:30,"13,2",13:30,"945,9",00,"942,5",15,71,90,04:50,59,Varias,,,,
2022-01-10,3195,"MADRID, RETIRO",MADRID,667,"11,2","0,0","6,9",07:00,"15,5",13:50,"944,9",Varias,"941,6",03,72,97,07:30,56,16:40,,,,
2022-01-11,3195,"MADRID, RETIRO",MADRID,667,"9,8","0,0","5,3",08:30,"14,4",15:50,"947,6",Varias,"944,3",04,68,91,08:20,51,16:10,,,,
2022-01-12,3195,"MADRID, RETIRO",MADRID,667,"7,7","0,0","4,3",06:20,"11,1",14:40,"951,2",24,"947,5",00,53,89,06:20,27,15:20,,,,
2022-01-13,3195,"MADRID, RETIRO",MADRID,667,"5,6","0,0","2,4",06:40,"8,9",14:20,"954,2",11,"951,2",00,60,70,Varias,41,00:10,,,,
2022-01-14,3195,"MADRID, RETIRO",MADRID,667,"4,6","0,0","1,0",06:00,"8,2",14:30,"954,1",09,"950,5",Varias,60,82,07:00,42,12:20,,,,
2022-01-15,3195,"MADRID, RETIRO",MADRID,667,"4,0","0,0","-0,1",07:10,"8,2",15:40,"950,7",00,"947,3",16,67,80,23:10,52,15:40,,,,
2022-01-16,3195,"MADRID, RETIRO",MADRID,667,"4,2","0,0","-0,5",08:00,"8,8",15:30,"953,4",24,"948,2",01,68,86,08:10,50,13:50,,,,
2022-01-17,3195,"MADRID, RETIRO",MADRID,667,"5,4","0,0","0,4",Varias,"10,3",15:40,"954,9",11,"950,6",18,57,84,05:10,39,15:50,,,,
2022-01-18,3195,"MADRID, RETIRO",MADRID,667,"6,2","0,0","0,5",07:10,"12,0",14:50,"952,3",10,"949,4",16,47,77,04:30,20,Varias,,,,
2022-01-19,3195,"MADRID, RETIRO",MADRID,667,"6,5","0,0","1,0",07:00,"12,0",14:50,"952,3",11,"949,0",16,40,57,06:50,24,15:20,,,,
2022-01-20,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,0","0,7",07:30,"12,5",13:50,"950,3",10,"946,0",16,54,76,07:20,39,Varias,,,,
2022-01-21,3195,"MADRID, RETIRO",MADRID,667,"5,0","0,0","1,0",08:20,"8,9",15:10,"948,2",24,"944,8",Varias,57,88,08:20,31,16:20,,,,
