fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-02-01,3195,"MADRID, RETIRO",MADRID,667,"12,0","0,0","7,9",07:40,"16,1",14:10,"941,1",23,"935,4",00,75,92,23:59,44,14:30
2021-02-02,3195,"MADRID, RETIRO",MADRID,667,"10,4","0,0","8,3",01:30,"12,4",15:50,"941,8",09,"938,7",17,86,99,11:20,72,16:40
2021-02-03,3195,"MADRID, RETIRO",MADRID,667,"10,1","0,1","8,4",02:00,"11,8",16:20,"939,1",00,"935,8",20,89,97,10:30,79,00:30
2021-02-04,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,2","9,1",07:00,"12,8",15:50,"936,1",00,"931,8",15,82,97,09:30,69,15:50
2021-02-05,3195,"MADRID, RETIRO",MADRID,667,"12,4","12,3","8,8",05:40,"16,0",15:30,"932,0",00,"924,4",Varias,66,97,23:30,55,15:10
2021-02-06,3195,"MADRID, RETIRO",MADRID,667,"9,4","1,3","7,6",Varias,"11,3",13:10,"929,0",24,"924,4",04,84,98,Varias,70,13:00
2021-02-07,3195,"MADRID, RETIRO",MADRID,667,"8,0","10,0","5,2",06:00,"10,8",13:30,"931,1",11,"929,0",Varias,67,96,23:20,45,12:00
2021-02-08,3195,"MADRID, RETIRO",MADRID,667,"8,0","2,2","5,4",Varias,"10,6",13:50,"931,8",24,"924,5",06,85,99,Varias,67,13:30
2021-02-09,3195,"MADRID, RETIRO",MADRID,667,"7,2","18,2","5,4",Varias,"9,1",13:40,"932,0",02,"924,3",13,96,99,Varias,86,Varias
2021-02-10,3195,"MADRID, RETIRO",MADRID,667,"9,8","0,1","5,9",05:10,"13,6",14:50,"940,8",24,"925,9",03,66,98,04:20,36,13:50
2021-02-11,3195,"MADRID, RETIRO",MADRID,667,"9,9","2,2","7,5",06:30,"12,3",16:00,"943,2",12,"940,8",Varias,93,99,Varias,79,00:00
2021-02-12,3195,"MADRID, RETIRO",MADRID,667,"10,9","0,1","7,9",23:59,"13,9",14:50,"946,5",24,"939,6",05,72,99,Varias,50,14:40
