fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-06-01,3195,"MADRID, RETIRO",MADRID,667,"22,6","0,0","15,6",04:40,"29,5",14:20,24,"2,2","9,4",15:00,"939,5",10,"936,5",18,36,73,04:10,24,14:20
2022-06-02,3195,"MADRID, RETIRO",MADRID,667,"22,5","0,0","16,2",04:40,"28,8",15:00,22,"1,9","9,7",14:20,"938,3",10,"935,7",17,44,85,03:20,25,15:10
2022-06-03,3195,"MADRID, RETIRO",MADRID,667,"22,0","0,0","16,3",05:30,"27,7",13:40,24,"2,5","10,6",14:20,"937,9",10,"935,8",03,40,77,05:30,26,14:30
2022-06-04,3195,"MADRID, RETIRO",MADRID,667,"21,0","0,0","14,9",05:10,"27,0",13:00,26,"2,2","9,7",18:50,"941,8",23,"937,2",03,46,80,06:50,26,15:10
2022-06-05,3195,"MADRID, RETIRO",MADRID,667,"21,6","0,0","13,7",06:00,"29,4",14:20,18,"1,7","7,8",15:10,"944,5",10,"941,5",01,38,83,06:00,21,17:20
2022-06-06,3195,"MADRID, RETIRO",MADRID,667,"22,9","0,0","15,7",05:50,"30,1",14:20,25,"1,7","8,6",16:10,"943,4",Varias,"940,9",Varias,37,84,05:50,12,15:00
2022-06-07,3195,"MADRID, RETIRO",MADRID,667,"24,8","0,0","16,9",05:00,"32,6",13:30,99,"2,5","8,6",Varias,"943,3",08,"938,2",24,34,74,04:40,20,14:40
2022-06-08,3195,"MADRID, RETIRO",MADRID,667,"22,9","0,0","18,4",05:10,"27,4",14:30,28,"3,3","11,4",11:30,"942,1",23,"938,2",00,47,82,05:10,30,00:50
2022-06-09,3195,"MADRID, RETIRO",MADRID,667,"25,6","0,0","18,8",06:00,"32,5",14:20,04,"1,7","9,2",23:00,"943,6",08,"940,4",17,41,72,06:50,23,19:20
2022-06-10,3195,"MADRID, RETIRO",MADRID,667,"27,5","0,0","20,0",03:50,"35,0",14:50,06,"1,9","8,1",00:30,"944,5",07,"940,3",18,23,50,03:00,12,12:00
2022-06-11,3195,"MADRID, RETIRO",MADRID,667,"29,4","0,0","22,0",05:50,"36,8",13:20,15,"1,4","7,8",20:30,"943,9",24,"940,3",17,31,51,02:50,18,20:30
2022-06-12,3195,"MADRID, RETIRO",MADRID,667,"28,1","0,0","22,1",07:00,"34,1",13:00,08,"0,8","8,3",22:40,"944,4",07,"940,2",20,31,48,07:00,17,12:50
2022-06-13,3195,"MADRID, RETIRO",MADRID,667,"29,4","0,0","21,4",06:10,"37,5",14:30,24,"1,4","6,7",15:20,"942,7",09,"938,0",18,23,52,06:20,14,13:50
2022-06-14,3195,"MADRID, RETIRO",MADRID,667,"31,0","0,0","23,5",05:30,"38,5",14:30,23,"2,5","8,6",14:10,"940,4",08,"937,6",17,21,45,05:20,13,15:50
2022-06-15,3195,"MADRID, RETIRO",MADRID,667,"31,0","0,0","24,2",06:50,"37,9",15:00,07,"2,5","12,8",19:00,"941,9",23,"938,1",17,23,40,06:30,14,16:20
2022-06-16,3195,"MADRID, RETIRO",MADRID,667,"31,3","0,1","25,4",06:40,"37,2",15:30,04,"2,2","12,5",22:50,"945,0",22,"939,9",17,25,58,07:50,15,15:10
2022-06-17,3195,"MADRID, RETIRO",MADRID,667,"31,0","0,0","23,1",Varias,"38,9",14:40,03,"2,5","11,1",01:30,"944,7",06,"940,4",17,28,53,Varias,12,Varias
2022-06-18,3195,"MADRID, RETIRO",MADRID,667,"32,0","0,0","25,2",Varias,"38,9",14:20,17,"2,5","12,2",17:00,"941,8",00,"932,4",19,23,32,02:50,11,14:10
2022-06-19,3195,"MADRID, RETIRO",MADRID,667,"24,0","0,0","18,8",06:00,"29,1",14:30,22,"3,6","11,7",10:40,"936,4",10,"933,6",17,39,56,05:00,27,14:00
2022-06-20,3195,"MADRID, RETIRO",MADRID,667,"23,2","0,0","18,4",05:20,"28,1",12:10,26,"2,5","11,1",13:10,"936,8",24,"934,1",04,42,63,05:20,28,19:40
2022-06-21,3195,"MADRID, RETIRO",MADRID,667,"21,0","0,0","14,7",05:00,"27,3",14:40,26,"2,5","10,0",18:10,"937,2",07,"931,3",17,33,58,05:20,17,16:40
2022-06-22,3195,"MADRID, RETIRO",MADRID,667,"20,0","0,2","14,8",Varias,"25,2",13:50,28,"3,6","9,7",12:30,"937,1",22,"934,1",01,45,66,06:20,32,Varias
2022-06-23,3195,"MADRID, RETIRO",MADRID,667,"20,0","0,0","15,6",06:00,"24,3",14:00,26,"2,8","11,7",13:40,"940,2",23,"935,8",02,54,86,04:40,35,16:10
2022-06-24,3195,"MADRID, RETIRO",MADRID,667,"20,0","0,0","12,9",04:10,"27,0",14:10,24,"2,2","9,7",14:30,"940,4",08,"936,5",18,46,88,04:00,27,15:10
2022-06-25,3195,"MADRID, RETIRO",MADRID,667,"20,6","0,0","13,6",05:10,"27,7",14:30,27,"3,1","11,4",16:40,"937,1",09,"933,8",18,42,89,05:10,28,13:40
2022-06-26,3195,"MADRID, RETIRO",MADRID,667,"21,9","0,0","15,9",04:20,"27,9",14:10,23,"2,8","9,4",14:30,"935,4",24,"933,6",17,25,58,04:10,10,14:40
2022-06-27,3195,"MADRID, RETIRO",MADRID,667,"22,8","0,0","16,5",06:40,"29,0",13:30,06,"2,2","10,3",22:10,"942,8",24,"935,0",01,35,60,05:40,20,14:10
2022-06-28,3195,"MADRID, RETIRO",MADRID,667,"23,0","0,0","14,7",04:30,"31,2",14:20,99,"1,9","8,1",Varias,"942,9",Varias,"938,6",20,32,74,04:20,14,18:10
2022-06-29,3195,"MADRID, RETIRO",MADRID,667,"25,2","0,0","17,5",05:50,"32,9",13:50,25,"2,8","11,1",14:30,"939,0",00,"934,1",18,24,48,05:20,15,Varias
2022-06-30,3195,"MADRID, RETIRO",MADRID,667,"23,8","0,0","17,5",05:30,"30,2",14:00,26,"2,8","9,2",15:20,"939,5",24,"935,0",00,31,52,05:50,15,13:50
