fecha,indicativo,nombre,provincia,altitud,tmed,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,prec
2023-11-01,3195,"MADRID, RETIRO",MADRID,667,"11,3","8,3",00:20,"14,3",21:20,24,"3,1","16,7",23:10,"939,7",09,"933,7",24,95,99,Varias,89,22:30,
2023-11-02,3195,"MADRID, RETIRO",MADRID,667,"11,5","7,1",23:40,"15,9",13:30,24,"6,4","18,6",07:00,"933,7",00,"923,6",13,67,99,Varias,53,17:40,
2023-11-03,3195,"MADRID, RETIRO",MADRID,667,"10,1","7,1",00:00,"13,1",15:30,28,"4,4","11,9",12:40,"933,3",18,"930,7",13,83,94,08:20,58,15:30,
2023-11-04,3195,"MADRID, RETIRO",MADRID,667,"11,8","9,7",23:50,"13,9",16:50,28,"5,6","15,0",16:50,"932,3",00,"922,0",16,92,99,Varias,76,Varias,
2023-11-05,3195,"MADRID, RETIRO",MADRID,667,"11,0","8,5",05:50,"13,4",12:40,25,"2,8","11,7",00:10,"937,6",24,"928,4",00,77,93,07:30,62,13:20,
2023-11-06,3195,"MADRID, RETIRO",MADRID,667,"9,0","5,2",07:10,"12,9",15:20,25,"1,7","7,8",10:20,"944,1",Varias,"937,5",01,72,98,04:20,41,15:00,
2023-11-07,3195,"MADRID, RETIRO",MADRID,667,"6,8","3,4",07:00,"10,1",13:50,32,"1,4","6,7",01:20,"946,9",22,"943,9",01,83,96,22:30,68,01:50,
2023-11-08,3195,"MADRID, RETIRO",MADRID,667,"8,2","4,9",02:50,"11,5",14:20,24,"1,7","6,4",23:10,"947,8",09,"942,3",24,84,99,Varias,71,14:10,
2023-11-09,3195,"MADRID, RETIRO",MADRID,667,"12,6","9,6",Varias,"15,5",14:40,28,"2,2","8,3",09:30,"942,3",00,"940,0",04,74,98,Varias,47,13:40,
2023-11-10,3195,"MADRID, RETIRO",MADRID,667,"11,2","7,9",06:30,"14,6",14:50,22,"2,8","9,4",23:59,"942,5",11,"940,0",04,72,98,23:30,62,11:50,
2023-11-11,3195,"MADRID, RETIRO",MADRID,667,"14,6","11,5",00:00,"17,6",13:30,26,"3,6","11,7",03:00,"942,6",22,"939,1",05,89,98,Varias,81,13:10,
2023-11-12,3195,"MADRID, RETIRO",MADRID,667,"15,2","11,9",07:30,"18,6",14:30,28,"1,7","8,3",11:50,"947,2",22,"941,8",02,84,99,Varias,67,13:00,
2023-11-13,3195,"MADRID, RETIRO",MADRID,667,"14,8","11,6",23:50,"18,0",14:00,24,"1,7","6,4",10:20,"949,0",22,"946,3",04,85,99,00:30,71,15:00,
2023-11-14,3195,"MADRID, RETIRO",MADRID,667,"13,0","10,3",03:30,"15,8",15:10,16,"0,8","3,6",13:00,"949,2",Varias,"947,0",16,93,99,Varias,82,15:30,
2023-11-15,3195,"MADRID, RETIRO",MADRID,667,"13,1","10,5",23:00,"15,7",Varias,08,"1,4","4,7",02:10,"949,8",10,"947,0",16,90,99,Varias,78,14:20,
2023-11-16,3195,"MADRID, RETIRO",MADRID,667,"12,2","10,8",00:00,"13,7",Varias,16,"0,8","2,8",17:10,"949,0",22,"946,5",04,97,99,Varias,90,15:10,
