fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2024-10-01,3195,"MADRID, RETIRO",MADRID,667,"20,2","0,0","13,5",06:20,"26,9",15:20,22,"1,4","6,4",16:20,"941,1",09,"937,2",16,44,66,07:20,25,15:50
2024-10-02,3195,"MADRID, RETIRO",MADRID,667,,"0,2",,,,,27,"2,5","10,8",16:20,"938,6",00,,,,,,,
2024-10-03,3195,"MADRID, RETIRO",MADRID,667,,"0,0",,,,,32,"2,5","8,3",15:10,,,,,,,,,
2024-10-04,3195,"MADRID, RETIRO",MADRID,667,,"0,0",,,,,31,"1,4","4,4",17:00,,,,,,,,,
2024-10-05,3195,"MADRID, RETIRO",MADRID,667,"19,1","0,0","12,8",06:00,"25,4",14:00,99,"1,9","8,3",Varias,,,,,60,,,,
2024-10-06,3195,"MADRID, RETIRO",MADRID,667,"20,1","0,0","17,6",05:00,"22,6",16:00,23,"3,1","9,7",09:20,,,,,67,,,,
2024-10-07,3195,"MADRID, RETIRO",MADRID,667,"18,2","6,5","13,8",18:50,"22,5",13:00,26,"2,8","15,3",13:20,,,,,81,97,Varias,43,12:10
2024-10-08,3195,"MADRID, RETIRO",MADRID,667,"15,0","0,4","12,7",05:00,"17,4",13:00,24,"3,6","10,0",09:50,,,,,85,96,01:10,73,12:50
2024-10-09,3195,"MADRID, RETIRO",MADRID,667,"16,6","4,7","13,8",23:59,"19,5",15:10,23,"4,2","14,2",10:50,,,,,89,,,,
2024-10-10,3195,"MADRID, RETIRO",MADRID,667,"15,0","0,0","11,6",05:50,"18,5",13:30,30,"2,2","8,3",03:20,,,,,53,80,00:50,36,14:00
2024-10-11,3195,"MADRID, RETIRO",MADRID,667,"14,6","6,7","10,0",06:50,"19,2",15:50,25,"1,1","6,7",13:30,,,,,62,99,23:50,45,12:40
2024-10-12,3195,"MADRID, RETIRO",MADRID,667,"15,2","21,4","13,8",23:59,"16,7",11:40,16,"1,7","7,8",09:10,,,,,,,,,
2024-10-13,3195,"MADRID, RETIRO",MADRID,667,"17,4","0,0","13,6",00:20,"21,2",15:00,04,"1,7","6,7",05:40,,,,,81,,,,
2024-10-14,3195,"MADRID, RETIRO",MADRID,667,"19,0","0,0","15,8",04:00,"22,1",15:30,04,"1,7","5,8",12:10,,,,,77,94,03:30,67,14:50
2024-10-15,3195,"MADRID, RETIRO",MADRID,667,"17,6","11,3","15,7",23:50,"19,6",00:00,26,"2,5","10,8",12:50,,,,,90,99,23:30,80,09:30
2024-10-16,3195,"MADRID, RETIRO",MADRID,667,"17,9","14,5","14,0",23:59,"21,8",15:20,15,"2,5","11,1",04:30,"935,3",24,"928,1",04,,,,,
2024-10-17,3195,"MADRID, RETIRO",MADRID,667,"14,4","1,4","11,5",07:00,"17,3",15:00,31,"3,3","11,4",11:30,"943,8",24,"934,2",02,,,,,
2024-10-18,3195,"MADRID, RETIRO",MADRID,667,"12,8","0,0","8,0",06:40,"17,6",14:20,29,"1,7","6,7",14:00,"945,7",09,"942,5",17,61,90,07:30,37,14:00
2024-10-19,3195,"MADRID, RETIRO",MADRID,667,"16,5","0,0","12,1",07:30,"20,9",14:40,23,"1,1","6,7",15:20,"945,2",23,"942,3",07,75,96,07:30,52,14:40
2024-10-20,3195,"MADRID, RETIRO",MADRID,667,"16,4","0,0","12,0",06:40,"20,8",15:40,17,"1,1","3,9",17:20,"947,3",09,"944,6",03,,,,,
2024-10-21,3195,"MADRID, RETIRO",MADRID,667,"17,1","0,0","12,1",06:50,"22,1",13:10,06,"0,8","5,8",22:20,"947,4",09,"944,6",16,,,,,
2024-10-22,3195,"MADRID, RETIRO",MADRID,667,"17,5","0,0","13,8",05:40,"21,2",15:30,07,"1,4","7,2",22:20,"949,2",24,"946,1",03,72,86,06:20,56,15:00
