fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-03-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,6","0,0","9,1",06:27,"16,2",13:55,73,84,05:20,60,13:40
2022-03-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,2","0,6","10,1",04:41,"14,4",15:03,79,87,19:50,75,13:50
2022-03-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,8","0,0","10,5",Varias,"17,0",12:29,68,83,02:50,47,14:10
2022-03-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","0,0","10,5",06:30,"16,2",11:24,70,81,19:20,52,11:40
2022-03-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,8","7,4","11,3",06:15,"16,2",13:48,54,66,Varias,43,16:00
2022-03-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,9","0,8","9,3",06:43,"12,5",Varias,76,91,07:00,59,12:50
2022-03-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,3","0,2","10,5",Varias,"14,1",13:55,66,74,04:40,58,09:30
2022-03-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,2","2,2","8,4",06:12,"12,1",15:03,80,85,Varias,69,00:00
2022-03-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,4","5,8","9,8",04:27,"15,1",15:25,78,90,10:30,66,16:00
2022-03-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,2","22,4","11,3",Varias,"15,1",Varias,80,90,23:59,67,15:00
2022-03-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,2","15,6","11,1",23:54,"13,2",Varias,88,94,Varias,80,Varias
2022-03-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","0,8","10,4",03:10,"16,3",Varias,82,90,06:30,58,16:00
2022-03-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,2","0,2","11,9",01:37,"14,5",Varias,81,84,Varias,62,02:40
2022-03-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,2","0,0","13,4",06:36,"14,9",11:20,87,90,Varias,83,Varias
2022-03-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,6","0,0","13,6",05:17,"15,7",23:56,82,87,01:40,60,23:50
2022-03-17,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,6","0,0","13,3",05:19,"16,0",14:05,75,84,05:20,58,22:20
2022-03-18,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,1","1,4","13,8",Varias,"16,4",10:24,59,75,02:40,49,19:40
2022-03-19,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,7","0,2","11,5",05:41,"13,9",02:03,75,85,05:10,60,00:00
2022-03-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,4","11,7",Varias,"15,5",10:45,85,90,13:10,69,Varias
2022-03-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","1,4","11,8",23:36,"15,1",13:10,75,89,00:00,66,16:30
