fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-09-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"23,5","0,4","21,6",05:34,"25,4",16:20,69,78,00:20,48,22:50
2021-09-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,2","1,0","21,1",03:39,"27,2",15:20,72,81,10:20,57,00:00
2021-09-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,6","0,2","20,4",05:24,"28,7",15:30,71,81,05:20,57,15:40
2021-09-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,4","0,0","21,2",05:21,"27,5",13:47,73,83,23:40,66,13:50
2021-09-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,4","0,0","21,8",05:26,"29,0",12:26,75,87,05:20,64,10:20
2021-09-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"26,0","0,0","23,1",05:17,"28,9",12:08,77,86,05:20,69,15:20
2021-09-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"26,4","0,0","23,8",05:32,"29,0",14:59,75,91,05:30,57,16:00
2021-09-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,8","0,0","22,4",05:22,"29,2",12:35,75,85,21:50,59,08:40
2021-09-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"26,0","0,2","23,3",05:28,"28,7",14:06,72,84,00:00,62,09:00
2021-09-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,0","1,0","21,7",22:50,"28,2",11:37,71,83,14:40,57,Varias
2021-09-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"23,8","0,0","20,0",05:18,"27,6",12:23,68,80,Varias,52,10:00
2021-09-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,5","0,0","22,4",05:17,"28,6",12:20,73,84,Varias,63,13:00
2021-09-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,8","0,0","22,6",05:34,"29,0",14:01,74,90,05:40,61,Varias
2021-09-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"27,0","0,0","24,4",05:22,"29,7",12:01,79,90,05:20,66,12:40
2021-09-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"26,6","0,6","23,3",24:00,"30,0",13:29,69,86,00:00,55,13:30
2021-09-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,7","0,0","21,4",05:22,"28,0",13:05,70,87,05:10,55,09:20
2021-09-17,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,8","0,0","21,1",05:18,"28,4",13:22,61,80,05:10,46,13:10
2021-09-18,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,3","8,4","21,6",05:19,"27,0",12:23,76,90,14:50,65,07:30
2021-09-19,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,8","0,0","17,8",05:18,"25,7",12:37,52,76,00:20,41,10:50
2021-09-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,0","18,8","17,1",18:36,"24,9",12:30,67,87,16:10,46,10:10
2021-09-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,8","0,0","17,5",05:15,"22,2",12:38,58,75,00:00,53,17:00
2021-09-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,8","2,6","19,1",05:13,"24,4",12:13,63,71,18:50,53,09:10
2021-09-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,8","1,8","18,7",07:56,"24,9",13:55,69,82,08:00,53,Varias
2021-09-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,8","0,0","18,8",05:29,"24,7",10:54,70,84,18:30,55,10:20
2021-09-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,6","0,0","21,7",06:34,"27,4",13:23,76,85,23:30,66,07:50
2021-09-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,7","0,0","21,7",05:29,"29,7",13:06,59,84,Varias,39,11:20
2021-09-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,2","0,0","20,1",05:15,"28,4",11:56,60,85,23:50,48,11:00
2021-09-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"23,5","0,0","20,5",05:25,"26,5",12:40,69,86,05:10,54,11:40
2021-09-29,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"22,4","5,8","20,5",05:18,"24,4",10:29,75,83,11:50,66,11:00
2021-09-30,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"22,0","0,0","19,8",23:46,"24,2",14:19,71,83,05:20,59,08:30
2021-10-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,6","0,0","18,8",05:12,"24,4",15:03,77,84,05:20,69,15:40
2021-10-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,6","0,0","18,2",05:52,"24,9",11:53,76,88,05:20,66,11:00
2021-10-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"22,1","22,2","18,6",23:52,"25,6",12:56,75,87,23:59,56,22:20
2021-10-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,8","5,4","15,1",08:49,"18,6",Varias,80,91,Varias,68,15:00
2021-10-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,6","2,0","14,3",05:30,"24,8",15:03,57,83,00:30,40,12:20
2021-10-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,6","0,0","17,3",05:31,"21,9",14:19,70,87,05:40,60,14:00
2021-10-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,6","0,0","16,3",05:39,"22,8",14:35,65,79,01:50,50,23:30
2021-10-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,4","0,0","16,1",05:33,"22,8",13:17,63,76,21:30,50,00:00
2021-10-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,3","0,0","17,7",06:05,"20,9",Varias,74,82,05:10,66,11:00
2021-10-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,2","0,0","17,2",05:40,"21,1",13:53,67,78,05:00,57,13:20
2021-10-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,6","0,0","16,0",06:15,"23,2",13:17,66,79,05:00,51,13:20
2021-10-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,0","0,0","14,7",05:32,"23,4",12:32,65,84,05:40,48,15:10
2021-10-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,7","0,0","16,7",Varias,"22,7",15:02,61,82,02:10,51,15:10
2021-10-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,8","0,0","16,3",06:41,"21,3",13:50,60,76,Varias,52,10:50
2021-10-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"20,2","0,0","16,2",05:32,"24,1",12:53,69,86,Varias,58,13:30
2021-10-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"20,2","0,0","18,2",05:23,"22,3",12:48,72,86,Varias,60,14:40
2021-10-17,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,8","0,0","17,0",05:47,"22,5",13:08,73,82,20:10,65,Varias
2021-10-18,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"20,4","0,0","17,6",05:35,"23,3",14:42,80,87,Varias,68,14:30
2021-10-19,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,0","0,0","17,8",06:05,"24,1",12:37,75,90,06:50,63,Varias
2021-10-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,0","0,0","18,6",23:31,"23,3",13:37,69,81,23:30,63,13:50
2021-10-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,3","0,2","17,7",Varias,"20,9",12:13,73,87,05:10,69,15:00
2021-10-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,4","0,0","16,4",23:48,"20,4",10:59,69,78,22:40,59,10:40
2021-10-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,0","0,0","14,0",06:14,"20,0",14:33,63,78,00:10,52,10:40
2021-10-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,9","0,0","13,7",02:45,"22,1",13:36,67,83,20:30,50,09:20
2021-10-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,6","0,0","14,7",05:53,"20,6",13:15,76,81,Varias,69,09:20
2021-10-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,2","0,0","14,6",05:38,"21,9",13:58,69,87,05:40,53,14:30
2021-10-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,3","0,0","14,3",05:39,"20,3",12:36,68,81,05:20,58,Varias
2021-10-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,8","0,0","14,6",05:16,"21,1",13:59,70,82,23:50,58,10:00
2021-10-29,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,8","16,4","15,7",00:06,"21,9",13:18,74,92,21:30,62,13:10
2021-10-30,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,7","4,0","17,4",03:08,"22,0",14:49,88,91,Varias,79,15:00
2021-10-31,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,1","0,2","17,3",05:45,"24,9",14:43,78,91,06:00,58,14:30
2021-11-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,5","0,4","15,0",23:47,"24,0",14:47,61,92,04:40,34,15:40
2021-11-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,7","0,2","13,5",Varias,"19,9",13:35,49,64,23:59,42,12:40
2021-11-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,8","0,2","12,1",23:38,"17,6",12:44,61,75,06:00,44,12:40
2021-11-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,2","10,4",06:24,"16,8",13:04,64,81,23:30,59,Varias
2021-11-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,0","0,0","9,9",Varias,"16,2",14:41,64,78,00:20,49,23:30
2021-11-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,0","0,0","9,1",05:36,"18,8",14:11,38,55,05:10,30,11:10
2021-11-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,2","0,0","9,2",05:28,"19,2",14:43,44,58,00:50,29,14:00
2021-11-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,8","0,0","10,3",06:20,"19,3",13:05,60,75,19:50,43,13:40
2021-11-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,7","0,0","10,7",05:29,"16,7",15:26,54,73,05:30,40,Varias
2021-11-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,9","13,8","13,4",15:26,"16,4",11:28,76,90,15:40,61,00:50
2021-11-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,4","2,2","14,6",00:49,"18,2",13:40,78,85,08:30,67,Varias
2021-11-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,8","0,0","15,7",09:10,"20,0",15:00,62,74,05:00,55,16:00
2021-11-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,3","0,0","15,1",05:34,"19,5",Varias,68,79,Varias,58,09:40
2021-11-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,8","3,6","12,6",Varias,"16,9",11:24,73,91,23:30,65,Varias
2021-11-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,2","0,0","11,1",07:06,"15,4",14:59,69,89,00:00,56,15:00
2021-11-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","1,4","11,1",10:06,"15,6",14:58,66,80,10:20,59,Varias
2021-11-17,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,0","10,4",06:12,"16,9",12:46,64,78,21:50,51,12:00
2021-11-18,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,1","0,0","9,4",05:22,"16,8",13:49,63,77,Varias,52,13:50
2021-11-19,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,0","0,0","9,2",06:03,"16,7",14:40,73,86,23:40,64,14:40
2021-11-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,6","0,0","9,3",06:38,"15,8",13:56,77,88,Varias,66,14:30
2021-11-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,4","0,0","12,4",06:07,"16,4",14:55,81,87,Varias,63,10:30
2021-11-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,0","0,0","11,1",06:52,"15,0",12:48,72,88,00:00,62,Varias
2021-11-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","28,8","11,9",Varias,"14,9",11:59,78,92,Varias,63,Varias
2021-11-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,5","17,4","10,1",22:28,"14,9",14:15,81,91,07:20,69,18:00
2021-11-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,4","5,2","9,5",05:40,"13,4",14:59,72,88,09:30,63,15:20
2021-11-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,6","0,0","8,9",05:18,"14,3",13:48,62,72,00:40,54,14:50
2021-11-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,2","0,0","6,8",23:06,"13,7",12:49,59,71,05:10,52,Varias
2021-11-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"8,8","0,0","5,8",05:24,"11,9",14:44,56,68,23:50,43,15:20
2021-11-29,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,4","0,0","5,7",07:24,"15,0",13:24,54,70,05:10,40,Varias
2021-11-30,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,3","0,0","7,5",02:11,"15,1",14:20,70,79,22:20,59,15:10
2021-12-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,0","0,8","8,3",06:34,"15,6",14:34,69,79,Varias,52,14:40
2021-12-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,0","0,0","8,7",23:25,"15,4",14:02,59,81,05:20,25,20:30
2021-12-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,6","0,0","6,7",07:32,"14,5",13:35,59,69,Varias,36,00:00
2021-12-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,1","0,0","9,6",05:36,"18,6",12:57,57,79,05:20,45,13:00
2021-12-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,4","0,0","7,6",23:47,"13,2",14:47,50,61,05:50,40,21:30
2021-12-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,2","0,0","6,8",01:39,"15,7",14:58,47,74,23:50,34,14:30
2021-12-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,8","0,0","7,9",07:27,"15,6",Varias,70,82,06:30,53,11:30
2021-12-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,5","0,0","8,3",23:53,"14,7",14:19,41,84,02:40,34,Varias
2021-12-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"9,8","0,0","6,7",05:40,"12,9",13:03,54,70,23:59,42,13:00
2021-12-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,7","0,0","10,1",00:01,"17,3",Varias,54,75,02:30,45,15:00
2021-12-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,8","0,0","7,6",05:21,"14,0",12:57,69,78,05:20,61,00:00
2021-12-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,0","0,0","10,2",05:25,"17,8",14:33,66,81,06:10,51,13:30
2021-12-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,9","0,0","8,7",06:54,"17,1",13:23,78,87,Varias,64,13:20
2021-12-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,2","0,0","8,2",04:34,"14,3",Varias,81,89,Varias,72,09:30
2021-12-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,4","0,0","7,2",06:49,"15,6",14:56,71,89,Varias,53,11:00
2021-12-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,4","0,0","8,4",05:28,"14,3",Varias,76,88,23:10,68,13:10
