fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2019-08-01,3195,"MADRID, RETIRO",MADRID,667,"27,4","0,0","20,5",05:50,"34,3",14:00,27,"2,5","10,0",13:30,"937,9",24,"935,0",17,34,52,06:30,21,17:20
2019-08-02,3195,"MADRID, RETIRO",MADRID,667,"29,0","0,0","22,4",05:30,"35,6",13:20,06,"1,9","8,3",04:20,"939,8",10,"937,3",18,30,48,06:10,18,17:30
2019-08-03,3195,"MADRID, RETIRO",MADRID,667,"29,1","0,0","22,2",05:30,"36,0",14:20,25,"2,2","10,6",15:30,"939,8",Varias,"936,0",19,27,45,05:50,17,Varias
2019-08-04,3195,"MADRID, RETIRO",MADRID,667,"28,6","0,0","21,3",05:50,"36,0",14:10,24,"1,9","8,9",16:00,"939,9",10,"936,4",Varias,26,35,Varias,20,13:40
2019-08-05,3195,"MADRID, RETIRO",MADRID,667,"28,9","0,0","21,5",06:30,"36,3",14:10,26,"1,7","8,9",14:30,"939,9",10,"936,1",17,28,40,06:50,21,13:50
2019-08-06,3195,"MADRID, RETIRO",MADRID,667,"28,2","0,0","21,1",06:20,"35,4",13:40,23,"1,7","10,0",13:40,"938,5",Varias,"934,5",Varias,27,38,06:20,19,13:50
2019-08-07,3195,"MADRID, RETIRO",MADRID,667,"24,2","0,0","21,5",23:40,"26,9",16:20,26,"2,2","8,1",18:10,"939,2",24,"934,2",03,41,46,Varias,28,00:00
2019-08-08,3195,"MADRID, RETIRO",MADRID,667,"26,5","0,0","19,5",05:50,"33,5",13:50,26,"2,5","11,4",15:00,"939,9",09,"937,0",18,42,57,06:30,31,16:40
2019-08-09,3195,"MADRID, RETIRO",MADRID,667,"26,6","0,0","21,8",23:59,"31,4",14:05,23,"4,7","15,3",16:00,"941,5",22,"937,8",00,48,61,23:50,38,00:00
2019-08-10,3195,"MADRID, RETIRO",MADRID,667,"25,3","0,0","19,0",04:50,"31,6",14:10,22,"1,9","10,0",15:10,"943,4",10,"939,1",24,38,64,01:10,25,15:30
2019-08-11,3195,"MADRID, RETIRO",MADRID,667,"24,8","0,0","20,0",04:00,"29,6",13:10,24,"2,8","11,4",13:00,"941,5",24,"938,3",Varias,34,45,06:30,25,Varias
2019-08-12,3195,"MADRID, RETIRO",MADRID,667,"21,4","0,0","15,5",05:50,"27,4",15:00,05,"2,2","11,7",22:40,"943,7",24,"940,1",01,32,47,05:30,23,15:30
2019-08-13,3195,"MADRID, RETIRO",MADRID,667,"22,5","0,0","15,7",05:40,"29,3",13:50,03,"2,2","11,4",00:20,"943,8",10,"940,6",17,34,46,05:30,24,18:10
2019-08-14,3195,"MADRID, RETIRO",MADRID,667,"25,4","0,0","18,0",05:05,"32,7",14:20,04,"1,1","7,5",00:20,"945,1",10,"940,6",17,29,42,08:40,23,15:50
2019-08-15,3195,"MADRID, RETIRO",MADRID,667,"28,0","0,0","20,5",04:30,"35,6",14:15,05,"1,7","10,3",22:10,"943,5",09,"939,9",18,29,38,04:40,25,Varias
2019-08-16,3195,"MADRID, RETIRO",MADRID,667,"29,0","0,0","22,1",05:50,"36,0",13:50,04,"2,2","9,2",00:30,"942,7",09,"938,1",18,32,45,06:20,24,16:30
2019-08-17,3195,"MADRID, RETIRO",MADRID,667,"29,7","0,0","22,2",06:10,"37,2",14:00,23,"2,2","9,7",13:10,"940,5",09,"936,3",Varias,28,41,Varias,21,14:00
2019-08-18,3195,"MADRID, RETIRO",MADRID,667,"27,8","0,0","20,6",06:05,"35,0",12:50,24,"2,8","12,5",16:00,"938,5",09,"935,7",04,24,42,23:40,18,Varias
2019-08-19,3195,"MADRID, RETIRO",MADRID,667,"27,4","0,4","21,4",Varias,"33,4",13:20,05,"2,2","10,8",22:30,"938,8",Varias,"937,2",18,37,49,06:50,28,18:40
