fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-12-01,3195,"MADRID, RETIRO",MADRID,667,"8,5","0,0","5,5",07:40,"11,5",13:50,05,"2,8","8,6",08:20,"938,6",10,"936,1",16,56,81,04:30,34,14:00
2022-12-02,3195,"MADRID, RETIRO",MADRID,667,"6,4","0,0","3,5",07:10,"9,3",15:00,05,"1,7","7,5",00:50,"938,0",00,"933,2",24,73,86,22:10,62,15:20
2022-12-03,3195,"MADRID, RETIRO",MADRID,667,"5,5","1,8","1,9",06:00,"9,1",14:10,09,"0,8","4,2",Varias,"933,3",00,"928,7",14,86,98,Varias,63,13:50
2022-12-04,3195,"MADRID, RETIRO",MADRID,667,"5,6","1,5","3,2",07:10,"7,9",16:20,99,"1,9","5,8",Varias,"936,8",Varias,"929,8",02,93,99,Varias,84,07:10
2022-12-05,3195,"MADRID, RETIRO",MADRID,667,"7,7","13,1","5,7",Varias,"9,7",20:10,04,"2,2","7,2",05:40,"937,2",10,"935,2",14,98,99,Varias,93,Varias
2022-12-06,3195,"MADRID, RETIRO",MADRID,667,"10,0","0,0","8,9",Varias,"11,0",15:50,06,"0,8","3,3",07:10,"939,3",23,"936,3",01,94,99,Varias,89,13:00
2022-12-07,3195,"MADRID, RETIRO",MADRID,667,"10,6","2,4","8,5",22:20,"12,6",14:20,08,"0,8","3,9",10:30,"939,0",00,"932,6",24,92,99,Varias,76,14:40
2022-12-08,3195,"MADRID, RETIRO",MADRID,667,"9,8","17,7","7,9",06:30,"11,7",14:30,25,"1,9","7,8",17:40,"932,6",00,"924,1",16,99,99,Varias,94,Varias
2022-12-09,3195,"MADRID, RETIRO",MADRID,667,"9,4","10,4","7,9",23:59,"11,0",14:40,27,"0,8","5,3",19:50,"926,9",24,"921,9",14,98,99,Varias,92,14:00
2022-12-10,3195,"MADRID, RETIRO",MADRID,667,"9,9","8,5","7,3",07:50,"12,5",14:00,25,"1,7","8,3",21:50,"934,1",18,"926,7",01,86,99,Varias,61,14:20
2022-12-11,3195,"MADRID, RETIRO",MADRID,667,"7,4","4,1","5,7",09:30,"9,2",23:50,27,"1,4","9,7",01:40,"933,2",00,"927,3",14,97,99,Varias,82,00:00
2022-12-12,3195,"MADRID, RETIRO",MADRID,667,"10,8","19,5","8,0",03:50,"13,7",18:50,24,"3,3","11,9",13:10,"933,7",03,"926,9",16,99,99,Varias,96,23:59
2022-12-13,3195,"MADRID, RETIRO",MADRID,667,"13,0","26,1","11,5",23:40,"14,5",18:40,23,"1,9","13,1",19:00,"930,5",00,"924,2",20,99,99,Varias,88,23:59
2022-12-14,3195,"MADRID, RETIRO",MADRID,667,"11,4","26,6","9,9",Varias,"12,9",11:40,26,"1,9","7,8",02:00,"930,2",03,"923,1",19,96,99,Varias,84,10:50
2022-12-15,3195,"MADRID, RETIRO",MADRID,667,"9,6","0,3","8,3",22:10,"11,0",13:50,27,"2,8","8,6",13:10,"928,6",24,"922,4",06,89,99,Varias,80,15:50
2022-12-16,3195,"MADRID, RETIRO",MADRID,667,"8,0","2,0","5,9",05:30,"10,1",12:00,26,"1,1","5,0",01:20,"936,3",24,"928,5",01,91,99,Varias,79,11:50
2022-12-17,3195,"MADRID, RETIRO",MADRID,667,"9,8","0,0","8,0",23:59,"11,5",13:40,99,"1,7","4,2",Varias,"945,6",23,"935,9",01,87,97,23:30,76,14:00
2022-12-18,3195,"MADRID, RETIRO",MADRID,667,"8,4","0,0","5,9",05:20,"10,9",15:40,04,"0,3","5,0",23:00,"950,0",11,"945,4",00,90,99,Varias,73,16:00
2022-12-19,3195,"MADRID, RETIRO",MADRID,667,"8,5","0,0","5,7",04:00,"11,3",15:30,05,"0,8","5,0",18:50,"950,2",10,"947,1",24,89,99,Varias,77,13:50
2022-12-20,3195,"MADRID, RETIRO",MADRID,667,"7,9","11,0","5,9",01:50,"9,9",21:00,11,"0,6","4,4",11:40,"947,2",00,"943,2",16,97,99,Varias,84,10:10
