fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2019-02-01,3195,"MADRID, RETIRO",MADRID,667,"6,4","1,0","3,5",17:50,"9,4",01:30,26,"3,9","16,1",14:10,"922,0",23,"916,0",16,74,92,00:30,54,23:59
2019-02-02,3195,"MADRID, RETIRO",MADRID,667,"4,6","0,0","1,6",21:30,"7,5",13:25,32,"3,9","14,2",07:00,"940,1",24,"920,7",00,48,58,20:20,38,14:00
2019-02-03,3195,"MADRID, RETIRO",MADRID,667,"4,0","0,0","-0,3",07:50,"8,2",14:30,05,"1,4","12,2",02:40,"949,8",24,"941,3",00,46,65,08:20,36,15:30
2019-02-04,3195,"MADRID, RETIRO",MADRID,667,"4,8","0,0","-1,4",07:20,"10,9",15:55,23,"0,8","3,6",16:40,"951,0",10,"949,0",17,54,76,07:30,36,Varias
2019-02-05,3195,"MADRID, RETIRO",MADRID,667,"8,1","0,0","1,7",08:00,"14,5",16:10,23,"0,8","5,0",10:50,"951,6",11,"948,8",17,54,72,08:00,42,Varias
2019-02-06,3195,"MADRID, RETIRO",MADRID,667,"9,7","0,0","4,4",07:50,"15,0",16:05,26,"1,7","6,1",15:00,"949,5",00,"945,0",23,59,,,,
2019-02-07,3195,"MADRID, RETIRO",MADRID,667,"9,0","0,0","3,0",07:55,"15,0",16:10,23,"0,8","4,4",18:40,"946,0",11,"942,3",15,60,85,Varias,40,Varias
2019-02-08,3195,"MADRID, RETIRO",MADRID,667,"8,6","0,0","2,8",07:00,"14,3",16:15,24,"1,1","7,8",16:00,"945,5",00,"942,7",17,59,78,07:30,38,16:10
2019-02-09,3195,"MADRID, RETIRO",MADRID,667,"7,4","0,0","2,9",08:10,"11,8",16:10,24,"1,1","6,1",19:30,"946,0",11,"943,0",17,72,93,08:30,50,15:40
2019-02-10,3195,"MADRID, RETIRO",MADRID,667,"7,6","0,0","4,1",04:50,"11,2",13:20,24,"2,5","10,8",12:30,"946,0",23,"943,0",05,78,91,07:30,67,13:20
2019-02-11,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","5,7",07:10,"13,0",14:50,04,"1,7","8,6",09:00,"952,0",24,"945,5",00,49,88,00:00,32,14:20
2019-02-12,3195,"MADRID, RETIRO",MADRID,667,"8,0","0,0","3,0",07:20,"13,0",16:30,05,"0,8","8,3",00:30,"953,8",11,"951,1",15,50,69,07:30,39,15:50
2019-02-13,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","4,4",Varias,"14,5",16:30,12,"0,8","4,7",13:10,"952,6",11,"949,9",Varias,48,62,07:50,40,16:40
2019-02-14,3195,"MADRID, RETIRO",MADRID,667,"8,0","0,0","3,0",07:30,"13,1",16:40,99,"0,8","5,0",Varias,"953,7",10,"949,9",17,51,63,07:00,43,00:00
2019-02-15,3195,"MADRID, RETIRO",MADRID,667,"9,0","0,0","3,4",07:30,"14,6",15:30,10,"0,8","4,4",21:00,"950,4",Varias,"947,0",17,51,64,Varias,40,16:30
2019-02-16,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","5,9",08:10,"16,2",14:00,12,"2,8","8,1",14:50,"949,2",11,"946,0",Varias,42,60,Varias,30,Varias
2019-02-17,3195,"MADRID, RETIRO",MADRID,667,"9,5","0,0","4,0",07:20,"15,0",16:20,05,"1,7","6,7",06:40,"948,3",00,"940,4",17,38,52,Varias,29,16:20
2019-02-18,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","4,5",07:20,"14,3",16:10,14,"1,1","5,0",12:00,"942,9",10,"939,5",15,53,72,04:10,43,15:50
2019-02-19,3195,"MADRID, RETIRO",MADRID,667,"9,7","0,0","5,4",06:40,"14,0",16:30,08,"0,8","4,4",11:50,"942,9",Varias,"940,5",16,56,75,23:50,45,16:40
2019-02-20,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","4,3",06:20,"14,5",16:05,25,"0,6","5,3",15:50,"947,2",24,"942,8",00,57,78,06:50,46,16:10
2019-02-21,3195,"MADRID, RETIRO",MADRID,667,"10,7","0,0","5,2",07:30,"16,2",16:10,05,"0,8","5,0",01:40,"953,0",24,"946,8",00,51,71,06:00,36,17:10
2019-02-22,3195,"MADRID, RETIRO",MADRID,667,"11,6","0,0","5,0",07:15,"18,1",15:10,06,"0,8","6,1",03:50,"953,7",09,"949,7",17,41,59,07:30,27,15:30
2019-02-23,3195,"MADRID, RETIRO",MADRID,667,"10,9","0,0","3,7",07:20,"18,1",Varias,04,"0,6","5,6",05:40,"952,3",10,"948,7",18,40,59,07:50,31,16:00
2019-02-24,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","8,1",06:40,"18,7",13:40,04,"0,8","6,1",08:00,"954,1",24,"949,9",Varias,40,50,03:10,32,13:40
2019-02-25,3195,"MADRID, RETIRO",MADRID,667,"12,4","0,0","6,4",06:40,"18,5",16:00,04,"0,8","4,2",06:00,"954,5",Varias,"948,9",17,45,62,06:40,37,16:30
2019-02-26,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","7,1",06:50,"19,8",16:10,16,"1,7","6,9",16:30,"952,0",12,"950,0",Varias,44,63,06:50,28,16:40
2019-02-27,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","7,0",06:50,"19,8",16:10,28,"1,4","5,3",15:50,"951,2",00,"948,6",Varias,38,49,Varias,28,16:00
2019-02-28,3195,"MADRID, RETIRO",MADRID,667,"12,4","0,0","6,2",07:15,"18,6",15:30,06,"0,8","5,0",23:50,"951,5",10,"947,5",24,42,57,07:40,34,15:30
2019-03-01,3195,"MADRID, RETIRO",MADRID,667,"13,2","0,0","6,8",06:50,"19,5",16:20,06,"1,7","7,2",01:20,"946,8",00,"944,1",17,44,58,06:30,34,Varias
2019-03-02,3195,"MADRID, RETIRO",MADRID,667,"13,8","0,0","8,0",06:10,"19,7",16:10,16,"1,9","5,8",13:30,"948,5",11,"946,0",Varias,48,60,07:00,37,16:00
2019-03-03,3195,"MADRID, RETIRO",MADRID,667,"13,2","0,0","6,1",06:50,"20,2",13:50,24,"1,9","10,3",16:30,"946,5",09,"941,6",Varias,49,62,Varias,36,13:50
2019-03-04,3195,"MADRID, RETIRO",MADRID,667,"12,0","0,0","8,5",04:55,"15,5",14:30,26,"3,6","11,1",14:30,"942,4",08,"940,5",17,65,86,Varias,48,16:00
2019-03-05,3195,"MADRID, RETIRO",MADRID,667,"12,0","0,0","8,7",06:45,"15,2",16:10,23,"3,3","11,7",14:50,"941,3",09,"934,5",24,56,69,08:00,50,Varias
2019-03-06,3195,"MADRID, RETIRO",MADRID,667,"9,6","8,2","5,7",23:59,"13,4",12:50,23,"4,2","17,8",13:10,"935,8",24,"926,7",13,66,91,10:40,55,16:30
2019-03-07,3195,"MADRID, RETIRO",MADRID,667,"7,6","0,0","3,2",06:00,"12,1",13:40,25,"2,5","9,4",17:00,"940,3",10,"935,8",00,54,86,01:10,43,15:40
2019-03-08,3195,"MADRID, RETIRO",MADRID,667,"10,1","0,0","5,3",06:40,"14,9",13:30,08,"0,8","5,3",10:30,"950,0",23,"940,0",00,59,88,06:50,40,16:00
2019-03-09,3195,"MADRID, RETIRO",MADRID,667,"11,5","0,0","5,0",06:50,"18,0",16:50,13,"0,6","4,7",11:20,"954,8",11,"950,7",00,52,75,07:00,36,15:00
2019-03-10,3195,"MADRID, RETIRO",MADRID,667,"15,0","0,0","7,3",07:10,"22,6",16:40,29,"1,7","7,8",17:40,"953,1",09,"948,7",17,52,78,05:30,36,17:30
2019-03-11,3195,"MADRID, RETIRO",MADRID,667,"14,6","0,0","10,0",05:40,"19,3",16:00,06,"2,2","8,6",08:30,"952,2",10,"949,8",Varias,54,75,05:30,39,Varias
2019-03-12,3195,"MADRID, RETIRO",MADRID,667,"14,2","0,0","7,1",06:20,"21,2",15:00,24,"2,8","10,0",13:50,"951,0",00,"944,9",Varias,48,59,Varias,38,17:00
2019-03-13,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","7,5",23:59,"14,5",14:10,33,"3,3","11,1",03:10,"951,8",23,"944,6",04,47,68,05:40,36,Varias
2019-03-14,3195,"MADRID, RETIRO",MADRID,667,"10,6","0,0","4,1",06:55,"17,1",16:20,06,"1,1","6,7",23:20,"952,7",09,"948,4",17,46,66,07:20,36,15:30
2019-03-15,3195,"MADRID, RETIRO",MADRID,667,"14,4","0,0","6,0",05:15,"22,8",16:10,24,"1,1","5,3",14:10,"950,2",00,"946,6",17,37,60,05:20,27,Varias
2019-03-16,3195,"MADRID, RETIRO",MADRID,667,"16,2","0,0","8,4",06:40,"23,9",15:30,25,"1,9","7,8",17:40,"947,2",00,"940,1",24,36,51,06:40,27,Varias
2019-03-17,3195,"MADRID, RETIRO",MADRID,667,"13,8","0,0","7,8",23:59,"19,7",14:00,99,"2,5","12,5",Varias,"943,0",24,"939,5",Varias,44,58,Varias,33,12:10
2019-03-18,3195,"MADRID, RETIRO",MADRID,667,"9,9","0,0","3,8",06:20,"16,0",13:50,05,"2,5","11,4",00:00,"947,0",Varias,"944,8",07,44,61,02:10,36,Varias
2019-03-19,3195,"MADRID, RETIRO",MADRID,667,"11,2","0,0","6,3",04:10,"16,0",13:45,01,"2,8","10,8",13:30,"948,8",23,"944,9",16,46,56,02:40,40,Varias
2019-03-20,3195,"MADRID, RETIRO",MADRID,667,"9,9","0,0","5,1",Varias,"14,7",16:10,05,"2,5","12,2",08:50,"949,8",10,"946,3",17,43,61,03:40,36,17:40
2019-03-21,3195,"MADRID, RETIRO",MADRID,667,"9,9","0,0","4,8",06:40,"15,0",14:30,05,"0,6","6,9",00:00,"950,2",08,"946,5",17,41,55,07:30,35,15:40
2019-03-22,3195,"MADRID, RETIRO",MADRID,667,"11,2","0,0","4,5",06:00,"18,0",16:20,17,"1,4","7,2",20:30,"949,9",09,"946,2",17,43,58,06:10,35,Varias
2019-03-23,3195,"MADRID, RETIRO",MADRID,667,"14,1","0,0","7,6",06:20,"20,6",13:20,09,"2,5","7,8",14:20,"948,8",Varias,"943,7",17,44,59,Varias,36,13:30
2019-03-24,3195,"MADRID, RETIRO",MADRID,667,"15,2","0,0","9,0",05:30,"21,5",13:50,14,"2,2","8,3",12:20,"947,0",01,"942,6",16,41,57,05:50,31,Varias
2019-03-25,3195,"MADRID, RETIRO",MADRID,667,"16,4","0,0","10,0",06:50,"22,7",13:40,04,"2,5","13,3",21:40,"944,8",Varias,"939,9",Varias,36,47,Varias,29,16:40
2019-03-26,3195,"MADRID, RETIRO",MADRID,667,"13,5","0,0","6,0",04:50,"21,0",Varias,04,"4,4","14,7",02:10,"944,5",24,"939,1",16,40,58,05:30,27,Varias
2019-03-27,3195,"MADRID, RETIRO",MADRID,667,"12,0","0,0","5,5",06:30,"18,5",15:50,04,"0,6","8,9",21:50,"947,3",24,"943,4",17,39,54,08:00,30,Varias
2019-03-28,3195,"MADRID, RETIRO",MADRID,667,"12,4","0,0","6,1",06:40,"18,6",14:40,06,"1,4","5,8",07:20,"949,0",Varias,"944,5",17,35,44,07:10,29,16:30
2019-03-29,3195,"MADRID, RETIRO",MADRID,667,"12,4","0,0","6,6",06:30,"18,2",14:10,14,"2,8","8,9",17:30,"947,2",Varias,"942,7",16,39,50,23:40,32,14:50
2019-03-30,3195,"MADRID, RETIRO",MADRID,667,"12,4","0,0","6,5",06:40,"18,2",15:10,14,"1,4","6,1",21:50,"944,8",Varias,"938,9",Varias,44,59,23:59,35,16:10
2019-03-31,3195,"MADRID, RETIRO",MADRID,667,"10,6","1,6","9,2",Varias,"12,0",16:10,12,"1,4","5,6",00:00,"939,3",00,"935,6",17,68,85,Varias,56,09:30
2019-04-01,3195,"MADRID, RETIRO",MADRID,667,"13,0","0,0","8,8",05:00,"17,2",14:40,19,"1,4","5,3",14:40,"938,3",24,"935,6",04,65,85,Varias,49,16:00
2019-04-02,3195,"MADRID, RETIRO",MADRID,667,"12,7","2,0","7,4",05:50,"18,0",12:10,26,"0,8","9,7",15:00,"938,0",10,"933,8",24,62,87,05:40,47,13:00
2019-04-03,3195,"MADRID, RETIRO",MADRID,667,"10,8","0,0","6,5",06:40,"15,1",11:20,34,"3,1","11,9",17:30,"933,9",00,"927,4",Varias,49,70,06:20,34,15:30
2019-04-04,3195,"MADRID, RETIRO",MADRID,667,"8,2","1,3","2,5",06:30,"14,0",16:00,26,"1,7","11,1",23:50,"928,7",09,"923,4",24,41,59,07:00,30,Varias
2019-04-05,3195,"MADRID, RETIRO",MADRID,667,"7,2","2,7","4,5",16:30,"10,0",00:00,27,"2,2","13,3",16:20,"925,7",24,"920,7",16,84,91,Varias,42,00:00
