fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-07-01,3195,"MADRID, RETIRO",MADRID,667,"25,8","0,0","18,5",05:20,"33,0",13:50,"941,2",08,"938,5",00,34,73,06:40,13,17:40
2021-07-02,3195,"MADRID, RETIRO",MADRID,667,"26,0","0,0","18,3",04:50,"33,6",14:20,"941,5",08,"938,3",18,23,54,06:30,11,16:20
2021-07-03,3195,"MADRID, RETIRO",MADRID,667,"25,5","0,0","18,7",05:10,"32,3",14:20,"940,9",10,"937,8",17,36,60,05:00,23,12:10
2021-07-04,3195,"MADRID, RETIRO",MADRID,667,"25,2","0,0","18,6",06:00,"31,7",15:00,"940,4",10,"938,2",01,36,66,06:00,18,11:40
2021-07-05,3195,"MADRID, RETIRO",MADRID,667,"26,4","0,0","19,4",05:00,"33,3",13:40,"940,3",00,"935,0",18,38,72,05:00,20,14:20
2021-07-06,3195,"MADRID, RETIRO",MADRID,667,"19,8","1,3","15,8",23:50,"23,9",00:00,"938,9",Varias,"935,3",02,70,85,13:50,44,00:00
2021-07-07,3195,"MADRID, RETIRO",MADRID,667,"19,8","0,0","13,2",05:50,"26,5",14:10,"943,6",24,"938,4",03,40,85,02:00,25,15:20
2021-07-08,3195,"MADRID, RETIRO",MADRID,667,"21,7","0,0","15,0",05:30,"28,4",15:40,"946,2",08,"942,9",19,35,65,03:30,20,14:50
2021-07-09,3195,"MADRID, RETIRO",MADRID,667,"25,0","0,0","17,5",05:10,"32,6",14:20,"945,3",08,"939,8",19,39,63,05:50,21,17:10
2021-07-10,3195,"MADRID, RETIRO",MADRID,667,"28,2","0,0","20,7",05:40,"35,7",Varias,"941,9",08,"938,2",18,37,65,07:00,15,15:10
2021-07-11,3195,"MADRID, RETIRO",MADRID,667,"30,2","0,0","22,4",06:50,"38,0",14:20,"939,2",06,"934,7",18,26,53,06:10,14,15:30
2021-07-12,3195,"MADRID, RETIRO",MADRID,667,"23,4","0,0","18,5",23:59,"28,2",00:00,"942,2",24,"935,4",04,32,54,03:50,20,14:40
2021-07-13,3195,"MADRID, RETIRO",MADRID,667,"20,4","0,0","14,3",05:10,"26,6",15:20,"944,4",09,"940,9",18,33,57,03:40,22,15:10
2021-07-14,3195,"MADRID, RETIRO",MADRID,667,"21,6","0,0","14,9",05:30,"28,2",14:30,"944,2",10,"940,1",20,37,66,04:20,19,15:50
2021-07-15,3195,"MADRID, RETIRO",MADRID,667,"23,4","0,0","16,1",06:00,"30,8",14:50,"943,4",08,"939,6",18,34,71,05:50,16,15:00
2021-07-16,3195,"MADRID, RETIRO",MADRID,667,"27,0","0,0","18,8",05:50,"35,3",14:20,"942,8",08,"939,3",18,31,56,05:50,18,14:10
2021-07-17,3195,"MADRID, RETIRO",MADRID,667,"29,0","0,0","21,0",06:20,"36,9",14:20,"941,8",08,"937,7",18,26,48,06:20,14,15:00
2021-07-18,3195,"MADRID, RETIRO",MADRID,667,"29,2","0,0","22,3",05:50,"36,2",14:50,"939,9",08,"936,5",17,25,50,06:10,10,14:30
